class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
plugins.collaboration.database.DatabaseConnectorEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,23
freemind.modes.mindmapmode.MindMapHTMLWriterEvoSuiteTest,class,11,6,1,0,10,6,4,4,1,0,0,0,0,67
plugins.script.ScriptEditorEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,22
freemind.modes.mindmapmode.actions.ModeControllerActionHandler,class,4,4,1,0,2,4,4,4,0,1,0,0,0,67
plugins.script.ScriptingEngineEvoSuiteTest,class,5,5,1,0,5,6,4,4,1,0,0,0,2,39
freemind.extensions.ImportWizard,class,1,38,1,0,34,0,5,4,0,4,2,1,3,224
freemind.main.FreeMindStarterEvoSuiteTest,class,6,3,1,0,4,3,3,3,1,0,0,0,0,29
accessories.plugins.LogFileViewerEvoSuiteTest,class,11,19,1,0,18,91,14,14,1,0,0,0,0,125
freemind.view.mindmapview.NodeViewFactory,class,15,53,4,0,34,126,17,5,1,6,0,2,4,176
accessories.plugins.time.JSpinField,class,1,49,5,1,40,73,21,20,1,9,0,2,7,334
accessories.plugins.NodeNote,class,2,12,4,0,21,6,4,1,0,4,4,4,2,102
freemind.main.XHTMLWriter,class,4,39,6,0,23,51,11,9,2,6,0,0,2,234
freemind.common.NamedObjectEvoSuiteTest,class,5,6,1,0,5,15,6,6,1,0,0,0,4,46
freemind.extensions.HookFactoryAdapterEvoSuiteTest,class,7,6,1,0,4,6,4,4,1,0,0,0,0,48
freemind.modes.MapAdapter,class,11,97,3,3,59,853,43,27,0,12,0,2,7,459
freemind.modes.mindmapmode.MindMapXMLElement,class,15,14,3,0,17,36,9,1,0,1,0,1,2,103
freemind.common.ThreeCheckBoxPropertyEvoSuiteTest,class,7,13,1,0,9,45,10,10,1,0,0,0,0,109
accessories.plugins.time.TimeListEvoSuiteTest,class,10,13,1,0,14,45,10,10,1,0,0,0,2,91
freemind.modes.attributes.AttributeRegistryEvoSuiteTest,class,7,43,1,0,32,435,30,30,1,0,0,0,0,295
accessories.plugins.ShowCloneNodes,class,5,10,4,0,17,3,2,1,0,0,0,0,3,68
freemind.extensions.HookRegistration,interface,0,2,1,0,0,1,2,0,0,0,0,0,0,31
freemind.modes.mindmapmode.hooks.PermanentMindMapNodeHookAdapter,class,4,3,4,9,6,3,3,2,0,0,0,0,0,50
freemind.common.UnicodeReaderEvoSuiteTest,class,7,16,1,0,11,45,10,10,1,0,0,0,0,138
freemind.modes.common.dialogs.EnterPasswordDialog,class,2,41,6,0,29,97,14,4,0,14,2,2,2,266
accessories.plugins.time.JMonthChooserEvoSuiteTest,class,7,17,1,0,23,120,16,16,1,0,0,0,0,157
freemind.modes.schememode.SchemeMapModel,class,4,23,3,0,29,28,8,8,0,0,0,0,1,152
accessories.plugins.dialogs.ArrayListTransferHandlerEvoSuiteTest,class,7,9,1,0,8,21,7,7,1,0,0,0,0,90
freemind.preferences.FreemindPropertyContributor,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,34
