class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
uk.me.jockmacmad.jstate.state.StringMatchesGuardCondition,class,2,7,1,0,5,0,4,4,0,1,0,0,0,67
uk.me.jockmacmad.jstate.state.Event,class,0,6,1,0,2,5,6,5,0,2,0,0,0,99
uk.me.jockmacmad.jstate.state.IStateMachineContainer,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,28
uk.me.jockmacmad.jstate.state.EndStateEvoSuiteTest,class,5,6,1,0,7,15,6,6,1,0,0,0,4,47
uk.me.jockmacmad.jstate.state.IState,interface,0,4,1,0,0,6,4,0,0,0,0,0,0,47
uk.me.jockmacmad.jstate.state.StateMachine,class,8,23,1,0,14,7,6,3,0,5,0,1,2,177
uk.me.jockmacmad.jstate.state.Transition,class,4,24,1,0,8,34,12,11,0,5,0,0,0,221
uk.me.jockmacmad.jstate.predicate.EvaluationNotPossibleException,class,0,2,3,0,0,1,2,2,0,1,0,1,0,35
uk.me.jockmacmad.jstate.state.IStateMachine,interface,1,2,1,0,0,1,2,0,0,0,0,0,0,32
uk.me.jockmacmad.jstate.state.StateMachineEvoSuiteTest,class,10,5,1,0,9,6,4,4,1,0,0,0,3,70
uk.me.jockmacmad.jstate.state.IGuardCondition,interface,1,0,1,0,0,0,0,0,0,0,0,0,0,22
uk.me.jockmacmad.jstate.state.StateMachineNotCompleteException,class,0,2,3,0,0,1,2,2,0,0,0,0,0,35
uk.me.jockmacmad.jstate.state.EndState,class,3,5,1,0,2,10,5,5,1,2,0,2,0,98
uk.me.jockmacmad.jstate.state.NonDeterministicException,class,0,2,3,0,0,1,2,2,0,1,0,1,0,39
uk.me.jockmacmad.jstate.state.MethodNotPresentException,class,0,1,3,0,0,0,1,1,0,1,0,1,0,33
uk.me.jockmacmad.jstate.state.InvalidMethodInStateException,class,0,2,3,0,0,1,2,2,0,1,0,1,0,40
uk.me.jockmacmad.jstate.state.EventEvoSuiteTest,class,5,5,1,0,7,10,5,5,1,0,0,0,0,46
uk.me.jockmacmad.jstate.predicate.IGreaterThan,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,24
uk.me.jockmacmad.jstate.patterns.SingletonConstructionException,class,0,2,3,0,0,1,2,2,0,0,0,0,0,39
uk.me.jockmacmad.jstate.patterns.ISingleton,interface,0,0,1,0,0,0,0,0,0,0,0,0,0,29
uk.me.jockmacmad.jstate.predicate.ILessThan,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,25
uk.me.jockmacmad.jstate.tools.Statemachine2JavaEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
uk.me.jockmacmad.jstate.state.IntegerGreaterThanGuardConditionEvoSuiteTest,class,6,4,1,0,4,6,4,4,1,0,0,0,0,46
uk.me.jockmacmad.jstate.state.StartStateEvoSuiteTest,class,5,5,1,0,8,10,5,5,1,0,0,0,4,42
uk.me.jockmacmad.jstate.state.StringMatchesGuardConditionEvoSuiteTest,class,5,3,1,0,4,3,3,3,1,0,0,0,0,29
uk.me.jockmacmad.jstate.predicate.IPredicate,interface,0,1,1,0,0,0,1,0,0,0,0,0,0,21
uk.me.jockmacmad.jstate.state.StartState,class,3,6,1,0,2,15,6,5,1,2,1,2,0,110
uk.me.jockmacmad.jstate.state.TransitionEvoSuiteTest,class,13,17,1,0,20,120,16,16,1,0,0,0,13,177
uk.me.jockmacmad.jstate.state.IntegerGreaterThanGuardCondition,class,2,7,1,0,4,0,4,3,0,1,0,0,0,57
uk.me.jockmacmad.jstate.state.ICompoundState,interface,3,0,1,0,0,0,0,0,0,0,0,0,0,23
uk.me.jockmacmad.jstate.tools.Statemachine2Java,class,6,22,1,0,39,34,9,1,1,3,0,2,1,192
