class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
org.jsecurity.util.JdbcUtilsEvoSuiteTest,class,7,6,1,0,7,15,6,6,1,0,0,0,5,50
org.jsecurity.web.filter.authc.PassThruAuthenticationFilter,class,3,3,7,0,2,0,1,0,0,0,0,0,0,54
org.jsecurity.subject.AbstractRememberMeManagerEvoSuiteTest,class,16,29,1,0,24,210,21,21,1,0,0,0,0,218
org.jsecurity.realm.activedirectory.ActiveDirectoryRealmEvoSuiteTest,class,16,16,1,0,22,60,11,11,2,1,0,1,2,146
org.jsecurity.spring.SpringIniWebConfiguration,class,11,35,5,0,30,34,9,4,0,4,2,3,0,164
org.jsecurity.web.filter.authz.AuthorizationFilterEvoSuiteTest,class,5,3,1,0,3,3,3,3,1,0,0,0,0,29
org.jsecurity.authz.permission.AllPermissionTest,class,2,2,1,0,2,1,2,2,0,0,0,0,0,34
org.jsecurity.web.DefaultWebSecurityManagerTest,class,4,4,1,0,3,6,4,4,0,0,0,0,2,48
org.jsecurity.util.JdbcUtils,class,2,28,1,0,6,0,4,3,3,1,0,1,0,107
org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilterEvoSuiteTest,class,7,14,1,0,14,66,12,12,1,0,0,0,0,111
org.jsecurity.util.PatternMatcher,interface,0,1,1,0,0,0,1,0,0,0,0,0,0,41
org.jsecurity.config.IniConfiguration,class,11,50,3,1,35,110,17,7,0,7,3,4,4,200
org.jsecurity.web.filter.authc.FormAuthenticationFilter,class,9,31,8,0,27,161,19,9,0,9,4,5,4,188
org.jsecurity.web.filter.AccessControlFilter,class,4,10,5,1,9,39,10,2,0,4,3,3,3,195
org.jsecurity.authc.RememberMeAuthenticationToken,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,63
org.jsecurity.authz.UnauthorizedException,class,1,4,6,1,0,6,4,4,0,0,0,0,0,58
org.jsecurity.realm.text.PropertiesRealm,class,6,67,6,0,47,118,21,8,0,11,0,6,3,317
org.jsecurity.web.servlet.JSecurityHttpServletResponse,class,8,72,2,0,42,55,15,10,1,3,0,1,3,273
org.jsecurity.spring.SpringJSecurityFilterEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
org.jsecurity.authc.credential.HashedCredentialsMatcherTest,class,9,3,2,2,6,3,3,3,0,0,0,0,1,43
org.jsecurity.authc.credential.Md5CredentialsMatcherTest,class,4,2,3,0,0,1,2,2,0,0,0,0,0,33
org.jsecurity.cache.ehcache.EhCacheManagerEvoSuiteTest,class,10,18,1,0,16,61,10,10,2,1,0,1,1,124
org.jsecurity.web.tags.PermissionTag,class,3,11,3,1,5,19,7,4,0,1,0,0,0,58
org.jsecurity.web.tags.UserTagEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,24
org.jsecurity.web.filter.authc.AnonymousFilterEvoSuiteTest,class,7,2,1,0,2,1,2,2,1,0,0,0,0,25
org.jsecurity.subject.DelegatingSubjectTest,class,6,3,1,0,13,3,3,3,0,0,0,0,2,62
org.jsecurity.cache.ehcache.EhCacheEvoSuiteTest,class,10,30,1,0,27,198,19,19,2,1,0,1,1,227
org.jsecurity.mgt.SecurityManagerFactory,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,31
org.jsecurity.realm.ldap.LdapUtils,class,2,9,1,0,8,3,3,2,2,1,0,1,0,76
org.jsecurity.web.tags.HasPermissionTag,class,1,2,4,0,1,1,2,1,0,0,0,0,0,32
org.jsecurity.web.servlet.JSecurityHttpSession,class,10,47,1,0,32,362,26,23,0,6,1,3,0,205
org.jsecurity.web.session.WebSession,class,5,34,1,0,20,0,15,13,1,3,0,2,4,149
org.jsecurity.authz.HostUnauthorizedExceptionTest,class,2,1,3,0,0,0,1,0,0,0,0,0,0,29
org.jsecurity.web.tags.RoleTagEvoSuiteTest,class,7,4,1,0,4,6,4,4,1,0,0,0,0,38
org.jsecurity.realm.text.TextConfigurationRealm,class,5,36,5,0,31,54,12,6,2,2,0,0,7,188
org.jsecurity.authz.ModularRealmAuthorizerEvoSuiteTest,class,15,37,1,0,25,406,29,29,1,0,0,0,0,341
org.jsecurity.config.ReflectionBuilderTest,class,6,5,1,0,11,10,5,5,0,0,0,0,0,91
org.jsecurity.authc.ExcessiveAttemptsException,class,1,4,7,0,0,6,4,4,0,0,0,0,0,62
org.jsecurity.web.attr.AbstractWebAttribute,class,7,52,1,1,25,171,22,17,0,7,1,2,2,202
org.jsecurity.authc.SimpleAccount,class,9,46,1,1,25,150,32,32,0,4,0,0,0,382
org.jsecurity.authz.permission.AllPermission,class,1,1,1,0,0,0,1,1,0,0,0,0,0,43
org.jsecurity.config.ReflectionBuilderEvoSuiteTest,class,7,27,1,0,18,136,17,17,1,0,0,0,0,208
org.jsecurity.realm.AuthorizingRealm,class,16,153,3,3,69,978,45,29,0,6,0,3,1,543
org.jsecurity.web.attr.CookieAttributeEvoSuiteTest,class,12,8,1,0,14,15,6,6,0,0,0,0,0,113
org.jsecurity.authc.pam.UnsupportedTokenException,class,1,4,6,0,0,6,4,4,0,0,0,0,0,62
org.jsecurity.authc.UnknownAccountException,class,1,4,7,0,0,6,4,4,0,0,0,0,0,63
org.jsecurity.realm.AuthorizingRealmTest,class,24,27,4,0,45,34,10,6,0,8,0,4,2,217
org.jsecurity.crypto.hash.Md5Hash,class,2,7,3,0,3,21,7,6,2,1,1,1,2,59
org.jsecurity.authc.ExcessiveAttemptsExceptionTest,class,2,1,3,0,0,0,1,0,0,0,0,0,0,32
org.jsecurity.realm.CachingRealmEvoSuiteTest,class,6,3,1,0,5,3,3,3,1,0,0,0,0,30
org.jsecurity.util.CollectionUtils,class,1,8,1,0,3,6,4,3,4,0,0,0,4,65
org.jsecurity.cache.Cache,interface,0,7,1,0,0,21,7,7,0,0,0,0,0,82
org.jsecurity.session.mgt.ValidatingSessionManager,interface,1,2,1,0,0,1,2,0,0,0,0,0,0,79
org.jsecurity.web.tags.HasPermissionTagEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,24
org.jsecurity.web.tags.LacksPermissionTag,class,1,2,4,0,1,1,2,1,0,0,0,0,0,32
org.jsecurity.crypto.hash.AbstractHashEvoSuiteTest,class,10,9,1,0,13,36,9,9,1,0,0,0,3,83
org.jsecurity.web.SavedRequestEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,27
org.jsecurity.authc.credential.Sha256CredentialsMatcherTest,class,4,2,3,0,0,1,2,2,0,0,0,0,0,33
org.jsecurity.crypto.Cipher,interface,1,2,1,0,0,1,2,0,0,0,0,0,0,71
org.jsecurity.authz.permission.InvalidPermissionStringException,class,1,2,5,0,0,0,2,2,0,1,0,0,0,49
