class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
com.werken.saxpath.XPathLexerTokenTest,class,5,38,2,0,6,660,37,36,0,1,0,0,0,225
org.saxpath.conformance.ConformanceXPathHandler,class,2,51,1,0,10,1116,48,47,0,1,0,0,0,279
org.saxpath.SAXPathException,class,0,10,3,2,6,3,6,6,0,1,0,0,0,123
org.saxpath.Axis,class,0,41,1,0,1,0,2,2,2,14,14,14,0,183
com.werken.saxpath.TokenEvoSuiteTest,class,5,3,1,0,6,3,3,3,1,0,0,0,0,32
com.werken.saxpath.XPathReaderTest,class,3,46,2,0,55,82,25,18,0,6,0,0,0,444
org.saxpath.helpers.DefaultXPathHandler,class,1,45,1,0,0,990,45,45,0,0,0,0,0,216
com.werken.saxpath.Token,class,0,10,1,0,8,15,10,4,0,4,0,0,0,115
org.saxpath.XPathSyntaxException,class,1,7,4,0,6,11,6,6,0,2,0,0,0,108
org.saxpath.SAXPathParseException,class,1,1,4,0,0,0,1,1,0,0,0,0,0,76
org.saxpath.helpers.XPathReaderFactory,class,3,16,1,0,8,1,2,2,2,3,1,3,3,180
org.saxpath.conformance.ConformanceXPathHandlerEvoSuiteTest,class,5,48,1,0,48,1128,48,48,1,0,0,0,0,303
org.saxpath.SAXPathEventSource,interface,1,2,1,0,0,1,2,0,0,0,0,0,0,81
com.werken.saxpath.XPathReader,class,6,172,1,0,98,833,42,4,0,3,0,0,4,936
org.saxpath.helpers.XPathReaderFactoryEvoSuiteTest,class,6,3,1,0,2,3,3,3,1,0,0,0,1,29
org.saxpath.helpers.MockXPathReader,class,2,4,1,0,0,6,4,4,0,0,0,0,0,79
com.werken.saxpath.XPathLexerEvoSuiteTest,class,6,15,1,0,11,91,14,14,1,0,0,0,0,122
com.werken.saxpath.TokenTypes,interface,0,0,1,0,0,0,0,0,0,34,0,34,0,100
org.saxpath.Operator,interface,0,0,1,0,0,0,0,0,0,13,0,13,0,82
com.werken.saxpath.XPathLexer,class,1,173,1,0,45,0,44,3,0,4,0,0,2,854
org.saxpath.XPathReader,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,78
org.saxpath.helpers.DefaultXPathHandlerEvoSuiteTest,class,5,45,1,0,44,990,45,45,1,0,0,0,0,238
com.werken.saxpath.DefaultXPathHandlerEvoSuiteTest,class,6,47,1,0,46,1081,47,47,1,0,0,0,1,247
com.werken.saxpath.XPathReaderEvoSuiteTest,class,5,49,1,0,18,528,33,33,1,0,0,0,0,318
com.werken.saxpath.XPathLexerTest,class,3,24,2,0,12,268,24,16,0,2,0,0,0,296
org.saxpath.AxisEvoSuiteTest,class,5,30,1,0,5,435,30,30,1,0,0,0,28,175
org.saxpath.helpers.XPathReaderFactoryTest,class,3,17,2,0,8,45,10,10,0,0,0,0,11,173
org.saxpath.XPathHandler,interface,0,44,1,0,0,946,44,0,0,0,0,0,0,282
com.werken.saxpath.DefaultXPathHandler,class,2,45,1,0,0,990,45,45,1,1,0,1,0,210
