class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
jahuwaldt.plot.PlotWindowEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
jahuwaldt.plot.RTriangle2Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,65
jahuwaldt.plot.PlotAxisScale,interface,3,6,1,0,0,15,6,6,0,0,0,0,0,90
apbs_mem_gui.JmolPanel,class,5,3,5,0,6,0,3,3,0,6,0,0,0,40
jahuwaldt.plot.LinearAxisScaleEvoSuiteTest,class,10,10,1,0,10,36,9,9,1,0,0,0,0,78
jahuwaldt.plot.TabUpSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.PlotPanelEvoSuiteTest,class,6,3,1,0,6,3,3,3,1,0,0,0,0,33
jahuwaldt.plot.PlotYAxisEvoSuiteTest,class,14,29,1,0,26,190,20,20,1,0,0,0,2,261
jahuwaldt.plot.Triangle1Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,62
jahuwaldt.plot.BoxULSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.AxisLimitData,class,0,0,1,0,0,0,0,0,0,2,0,0,0,37
jahuwaldt.plot.ThinRect1Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,68
jahuwaldt.plot.BoxLRSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,68
jahuwaldt.plot.TabUpSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,67
jahuwaldt.plot.PlotRunListEvoSuiteTest,class,9,27,1,0,25,171,19,19,1,0,0,0,0,232
jahuwaldt.plot.RTriangle4SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.PlotXAxis,class,8,46,2,0,21,4,5,4,0,1,0,1,2,201
jahuwaldt.plot.PlotAxisEvoSuiteTest,class,8,22,1,0,24,231,22,22,1,0,0,0,0,209
apbs_mem_gui.InFile,class,0,145,1,0,10,1604,64,60,0,4,0,0,34,419
jahuwaldt.plot.TabDSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
apbs_mem_gui.RunEvoSuiteTest,class,8,3,1,0,3,3,3,3,1,0,0,0,0,38
jahuwaldt.plot.CircleSymbol,class,1,6,2,0,7,1,2,2,0,0,0,0,0,66
apbs_mem_gui.Run,class,7,33,1,0,53,0,4,4,0,10,0,0,17,214
jahuwaldt.plot.ThinRect1SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.TickMarkData,class,2,0,1,0,0,0,0,0,0,3,0,0,0,43
jahuwaldt.plot.PlotSymbolEvoSuiteTest,class,8,7,1,0,10,21,7,7,1,0,0,0,0,66
jahuwaldt.plot.PlotPanel,class,1,5,5,0,5,0,3,3,0,1,0,0,0,70
apbs_mem_gui.EFileFilter,class,0,39,2,0,15,16,12,12,0,6,0,2,0,233
jahuwaldt.plot.TabLSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.Triangle4Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,63
jahuwaldt.plot.Triangle1SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.CircleSymbolEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,22
jahuwaldt.plot.TickMarkDataEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
jahuwaldt.plot.TabLSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,67
jahuwaldt.plot.RTriangle4Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,65
jahuwaldt.plot.BoxLRSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.ContourGenerator,class,4,189,1,0,22,0,18,8,0,29,0,7,10,749
jahuwaldt.plot.PlotRunList,class,3,31,3,0,23,0,17,17,0,1,0,0,4,242
jahuwaldt.plot.BoxURSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,68
jahuwaldt.plot.BoxLLSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,68
jahuwaldt.plot.ContourPlot,class,11,19,2,0,26,9,6,3,0,2,0,1,2,181
apbs_mem_gui.FileEditor,class,1,24,1,0,16,6,4,2,0,0,0,0,12,101
jahuwaldt.plot.PlotXAxisEvoSuiteTest,class,12,15,1,0,13,55,11,11,1,0,0,0,0,152
jahuwaldt.plot.TabRSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,67
jahuwaldt.plot.AxisLimitDataEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
jahuwaldt.plot.XSymbol,class,1,6,2,0,6,1,2,2,0,0,0,0,0,76
jahuwaldt.plot.ContourAttribEvoSuiteTest,class,5,4,1,0,5,6,4,4,1,0,0,0,0,36
jahuwaldt.plot.TabDSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,67
apbs_mem_gui.MainEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
jahuwaldt.plot.SquareSymbol,class,1,6,2,0,7,1,2,2,0,0,0,0,0,66
jahuwaldt.plot.RTriangle3Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,65
apbs_mem_gui.JmolPanelEvoSuiteTest,class,6,4,1,0,5,3,3,3,1,0,0,0,0,35
jahuwaldt.plot.RTriangle1SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.ContourPath,class,3,10,1,0,3,11,7,7,0,6,0,2,2,113
jahuwaldt.plot.Plot,interface,0,4,1,0,0,6,4,4,0,0,0,0,0,57
jahuwaldt.plot.Triangle2SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.ThinRect2Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,68
jahuwaldt.plot.PlotDatum,class,2,23,1,0,3,70,16,16,0,6,1,0,0,206
jahuwaldt.plot.ContourPlotEvoSuiteTest,class,6,4,1,0,9,6,4,4,1,0,0,0,2,59
jahuwaldt.plot.PlotAxis,class,5,53,1,2,9,288,28,24,0,14,4,5,2,366
jahuwaldt.plot.PlotYAxis,class,12,72,3,0,51,78,16,14,0,9,0,1,17,382
jahuwaldt.plot.DiamondSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.LinearAxisScale,class,6,49,1,0,14,26,8,6,0,1,0,1,10,214
jahuwaldt.plot.SimplePlotXY,class,10,59,1,1,48,8,20,13,1,4,0,1,2,477
apbs_mem_gui.Exec,class,0,18,1,0,13,6,4,4,0,0,0,0,4,138
apbs_mem_gui.Main,class,20,297,11,0,156,147,21,15,1,33,0,2,26,1170
jahuwaldt.plot.PlotDatumEvoSuiteTest,class,11,18,1,0,19,153,18,18,1,0,0,0,1,189
jahuwaldt.plot.Plot2D,interface,3,5,1,0,0,10,5,5,0,0,0,0,0,52
jahuwaldt.plot.PlotRun,class,4,37,3,0,19,0,18,18,0,1,0,0,4,261
jahuwaldt.plot.SquareSymbolEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,22
jahuwaldt.plot.PlotRunEvoSuiteTest,class,13,25,1,0,22,171,19,19,1,0,0,0,0,218
jahuwaldt.plot.RTriangle1Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,65
jahuwaldt.plot.RTriangle2SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.PolygonSymbol,class,2,7,2,11,7,3,3,1,0,2,0,0,0,88
jahuwaldt.plot.DiamondSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,63
jahuwaldt.plot.Triangle3SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.PolygonSymbolEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,22
jahuwaldt.plot.TabRSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.BoxLLSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.ContourGeneratorEvoSuiteTest,class,8,39,1,0,10,210,21,21,1,0,0,0,0,1218
jahuwaldt.plot.Triangle3Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,63
jahuwaldt.plot.BoxULSymbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,68
jahuwaldt.plot.BoxURSymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.XSymbolEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,22
jahuwaldt.plot.ContourPathEvoSuiteTest,class,7,9,1,0,9,36,9,9,1,0,0,0,0,103
jahuwaldt.plot.PlotSymbol,class,1,10,1,4,2,30,9,8,0,3,0,0,0,119
jahuwaldt.plot.PlotWindow,class,6,8,6,0,12,4,5,5,1,1,0,0,1,90
jahuwaldt.plot.SimplePlotXYEvoSuiteTest,class,12,16,1,0,26,66,12,12,1,0,0,0,8,155
jahuwaldt.plot.ThinRect2SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.Triangle2Symbol,class,2,4,3,0,1,1,2,1,0,1,0,1,0,64
jahuwaldt.plot.ContourAttrib,class,1,5,1,0,2,0,4,4,0,1,0,0,0,74
jahuwaldt.plot.RTriangle3SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
jahuwaldt.plot.Triangle4SymbolEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
apbs_mem_gui.EFileFilterEvoSuiteTest,class,5,13,1,0,10,66,12,12,1,0,0,0,0,122
