class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
org.petsoar.search.lucene.TestDefaultLuceneDocumentFactory,class,6,6,2,0,20,0,6,4,0,1,0,0,0,85
org.petsoar.order.BillingInfo,class,2,2,2,0,0,1,2,2,0,0,0,0,0,40
org.petsoar.security.SessionCredentials,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,34
org.petsoar.AllTests,class,3,1,1,0,4,0,1,1,1,0,0,0,3,42
org.petsoar.pets.TestDefaultPetStore,class,8,9,2,0,22,0,9,8,0,2,0,0,0,144
org.petsoar.search.lucene.LuceneSearcher,class,11,10,1,0,11,0,4,4,0,2,0,0,1,86
org.petsoar.persistence.hibernate.HibernateSessionFactoryAware,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,34
org.petsoar.persistence.PersistenceException,class,0,2,4,0,0,1,2,2,0,0,0,0,0,39
org.petsoar.search.Indexer,interface,0,2,1,0,0,1,2,0,0,0,0,0,0,41
org.petsoar.actions.cart.AbstractShoppingCartAction,class,3,1,1,1,0,0,1,1,0,1,0,0,0,40
org.petsoar.util.TestMoneyConverter,class,2,7,2,0,5,0,7,7,0,1,0,0,0,72
org.petsoar.actions.inventory.RemovePet,class,1,6,4,0,3,0,2,2,0,1,0,0,0,49
org.petsoar.persistence.hibernate.TestHibernatePersistenceManager,class,4,13,3,0,26,0,11,9,0,1,0,0,2,193
org.petsoar.order.ShipmentInfo,class,2,2,2,0,0,1,2,2,0,0,0,0,0,40
org.petsoar.order.OrderProcessing,interface,1,4,1,0,0,6,4,0,0,0,0,0,0,38
org.petsoar.persistence.PersistenceIndexedAware,interface,1,0,1,0,0,0,0,0,0,0,0,0,0,33
org.petsoar.persistence.hibernate.HibernateSessionFactory,interface,1,3,1,0,0,3,3,0,0,0,0,0,0,39
org.petsoar.security.SessionCredentialsAware,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,34
org.petsoar.security.DefaultUserAccessorEvoSuiteTest,class,8,6,1,0,4,6,4,4,1,0,0,0,0,47
