class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
de.huxhorn.lilith.jul.xml.JulImportCallable,class,12,14,2,0,16,0,4,4,0,9,4,4,1,85
de.huxhorn.lilith.buffers.FilteringBufferEvoSuiteTest,class,13,11,1,0,16,55,11,11,1,0,0,0,1,108
de.huxhorn.lilith.swing.statistics.StatisticsPanel,class,22,109,7,0,81,55,23,17,0,19,3,2,4,510
de.huxhorn.lilith.data.logging.protobuf.LoggingEventWrapperProtobufCodecEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
de.huxhorn.lilith.swing.LicenseAgreementDialog,class,4,22,8,0,25,49,10,7,0,4,0,0,1,146
de.huxhorn.lilith.data.logging.protobuf.LoggingEventWrapperProtobufCodec,class,6,1,2,0,0,0,1,1,0,0,0,0,0,14
de.huxhorn.lilith.consumers.AlarmSoundLoggingEventConsumerEvoSuiteTest,class,11,6,1,0,8,15,6,6,1,0,0,0,0,75
de.huxhorn.lilith.data.access.protobuf.AccessEventWrapperProtobufDecoderEvoSuiteTest,class,15,10,1,0,18,45,10,10,1,0,0,0,8,86
de.huxhorn.lilith.swing.taskmanager.table.TaskTableColumnModelEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
de.huxhorn.lilith.conditions.GroovyConditionEvoSuiteTest,class,5,31,1,0,1,120,16,16,1,0,0,0,0,198
de.huxhorn.lilith.log4j.xml.LoggingEventReaderTest,class,11,38,1,0,42,23,10,4,0,2,0,0,3,368
de.huxhorn.lilith.swing.preferences.SavedConditionEvoSuiteTest,class,10,27,1,0,20,351,27,27,1,0,0,0,0,239
de.huxhorn.lilith.jul.xml.LoggingEventReader,class,11,63,1,0,38,10,5,2,0,2,0,1,6,281
de.huxhorn.lilith.conditions.EventContainsConditionEvoSuiteTest,class,16,28,1,0,20,378,28,28,1,0,0,0,0,271
de.huxhorn.lilith.data.logging.protobuf.LoggingEventWrapperProtobufDecoderEvoSuiteTest,class,14,9,1,0,16,36,9,9,1,0,0,0,8,79
de.huxhorn.lilith.data.access.protobuf.CompressingAccessEventWrapperProtobufCodec,class,6,1,2,0,0,0,1,1,0,0,0,0,0,12
de.huxhorn.lilith.consumers.StdoutEventConsumerEvoSuiteTest,class,6,3,1,0,2,1,2,2,1,0,0,0,0,29
de.huxhorn.lilith.swing.taskmanager.TaskManagerPanel,class,12,42,6,0,42,57,15,13,0,8,0,2,0,204
de.huxhorn.lilith.debug.LogThrowableRunnable,class,3,12,2,0,14,0,2,2,0,2,0,0,0,48
de.huxhorn.lilith.swing.TabbedPaneViewContainer,class,23,130,9,2,80,561,43,41,0,15,0,3,3,522
de.huxhorn.lilith.data.eventsource.TransferSizeInfo,class,1,15,1,0,4,1,3,3,0,2,2,0,0,52
de.huxhorn.lilith.data.logging.LoggingEvent,class,8,71,1,0,18,248,28,28,0,13,0,1,2,209
de.huxhorn.lilith.swing.LoggingEventViewManager,class,6,2,2,0,1,1,2,1,0,0,0,0,0,32
de.huxhorn.lilith.buffers.SoftReferenceCachingBufferEvoSuiteTest,class,12,17,1,0,1,36,9,9,1,0,0,0,0,122
de.huxhorn.lilith.swing.preferences.SourcesPanel,class,11,61,8,0,46,136,21,18,0,8,0,0,0,315
de.huxhorn.lilith.data.logging.protobuf.generated.LoggingProtoEvoSuiteTest,class,25,39,1,0,82,465,31,31,1,0,0,0,37,362
de.huxhorn.lilith.data.logging.MessageFormatterTest,class,16,153,4,0,59,397,34,29,0,10,0,1,45,812
de.huxhorn.lilith.swing.table.renderer.ThreadRenderer,class,6,24,1,0,16,0,2,2,0,1,0,0,1,100
de.huxhorn.lilith.data.eventsource.xml.SourceIdentifierWriter,class,5,16,1,0,12,3,6,6,0,2,0,0,0,90
de.huxhorn.lilith.services.gotosrc.GoToSourceService,class,2,29,1,0,14,0,3,3,0,3,0,0,0,109
de.huxhorn.lilith.engine.impl.sourcemanager.SourceManagerImpl,class,15,49,1,0,33,50,17,15,0,9,0,1,0,202
de.huxhorn.lilith.engine.impl.sourceproducer.LoggingEventProtobufServerSocketEventSourceProducer,class,8,4,2,0,1,0,4,3,0,1,0,0,0,34
de.huxhorn.lilith.swing.filefilters.Mp3FileFilter,class,0,2,2,0,5,1,2,2,0,0,0,0,0,32
de.huxhorn.lilith.swing.preferences.EditSourceNameDialogEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
de.huxhorn.lilith.data.logging.logback.LogbackLoggingAdapter,class,17,49,1,0,72,15,6,1,0,0,0,0,6,217
de.huxhorn.lilith.swing.TabbedLoggingViewContainer,class,6,3,7,0,4,3,3,2,0,0,0,0,0,40
de.huxhorn.lilith.swing.table.tooltips.NdcTooltipGeneratorEvoSuiteTest,class,6,4,1,0,5,6,4,4,1,0,0,0,2,47
de.huxhorn.lilith.swing.preferences.SourceListsPanelEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,28
de.huxhorn.lilith.elementprocessors.LoggingEventThreadNameProcessor,class,6,30,1,0,8,0,5,4,0,1,0,0,0,110
de.huxhorn.lilith.swing.statistics.SevenDaysProducer,class,6,6,2,0,23,1,2,2,0,0,0,0,0,91
de.huxhorn.lilith.swing.debug.DebugDialog,class,18,38,19,0,40,244,29,28,0,16,0,13,1,313
de.huxhorn.lilith.swing.SplashScreen,class,3,25,8,0,29,4,8,6,0,4,0,0,1,119
de.huxhorn.lilith.engine.FileConstants,interface,0,0,1,0,0,0,0,0,0,13,0,0,0,37
de.huxhorn.lilith.consumers.RrdLoggingEventConsumerEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,29
de.huxhorn.lilith.swing.table.renderer.MethodRenderer,class,5,18,1,0,14,0,2,2,0,1,0,0,1,85
de.huxhorn.lilith.data.access.protobuf.AccessEventIOTest,class,8,30,1,0,31,276,24,24,0,1,0,0,0,206
de.huxhorn.lilith.swing.statistics.TwentyMinutesProducer,class,6,6,2,0,23,1,2,2,0,0,0,0,0,91
de.huxhorn.lilith.swing.table.tooltips.RequestUrlTooltipGenerator,class,3,7,1,0,8,0,1,1,0,0,0,0,0,51
de.huxhorn.lilith.debug.DebugProgressingCallableEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
de.huxhorn.lilith.swing.table.tooltips.MessageTooltipGeneratorEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,25
de.huxhorn.lilith.swing.table.tooltips.LoggerNameTooltipGenerator,class,3,5,1,0,3,0,1,1,0,0,0,0,0,42
de.huxhorn.lilith.logback.classic.SimpleNDCAdapterTest,class,8,18,1,0,19,0,14,14,0,2,0,0,0,167
de.huxhorn.lilith.swing.preferences.ConditionsPanel,class,16,96,9,0,54,135,22,20,0,12,0,0,0,432
de.huxhorn.lilith.swing.table.tooltips.MessageTooltipGenerator,class,4,20,1,0,15,0,1,1,0,0,0,0,0,93
de.huxhorn.lilith.swing.filefilters.LogImportFileFilterEvoSuiteTest,class,5,4,1,0,3,6,4,4,1,0,0,0,0,38
de.huxhorn.lilith.swing.table.model.PersistentTableColumnModel,class,1,50,2,0,22,72,21,20,0,4,0,0,0,275
de.huxhorn.lilith.logback.classic.SimpleNDCAdapter,class,5,37,3,0,23,80,20,17,0,2,0,0,1,184
de.huxhorn.lilith.engine.LogFileFactory,interface,1,7,1,0,0,21,7,0,0,0,0,0,0,30
de.huxhorn.lilith.swing.table.renderer.SourceRendererEvoSuiteTest,class,10,4,1,0,7,6,4,4,1,0,0,0,0,59
de.huxhorn.lilith.swing.table.renderer.ThreadRendererEvoSuiteTest,class,6,4,1,0,6,6,4,4,1,0,0,0,0,55
de.huxhorn.lilith.log4j.xml.LoggingEventReader,class,9,80,1,0,54,28,8,2,0,7,2,5,7,359
de.huxhorn.lilith.appender.InternalLilithAppender,class,11,8,2,0,6,0,4,3,2,4,0,2,0,93
de.huxhorn.lilith.swing.callables.FindPreviousCallable,class,8,23,2,0,15,0,2,2,0,4,0,0,0,83
de.huxhorn.lilith.swing.ColorIcon,class,0,5,1,0,2,0,5,5,0,2,0,0,0,48
de.huxhorn.lilith.consumers.AlarmSoundAccessEventConsumer,class,5,12,1,0,5,0,3,3,0,1,0,0,1,62
de.huxhorn.lilith.swing.table.renderer.ToStringRendererEvoSuiteTest,class,5,4,1,0,5,6,4,4,1,0,0,0,0,46
de.huxhorn.lilith.swing.table.model.RowBasedTableModel,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,24
de.huxhorn.lilith.data.logging.protobuf.LoggingEventWrapperProtobufEncoder,class,13,28,1,0,27,9,7,7,3,1,0,0,7,134
de.huxhorn.lilith.data.access.AccessEventsTest,class,5,5,1,0,12,0,5,5,0,1,0,0,0,100
de.huxhorn.lilith.data.access.protobuf.AccessEventWrapperProtobufCodec,class,6,1,2,0,0,0,1,1,0,0,0,0,0,12
de.huxhorn.lilith.engine.xml.sourceproducer.LilithXmlStreamLoggingServerSocketEventSourceProducer,class,8,4,2,0,1,3,3,2,0,0,0,0,0,55
de.huxhorn.lilith.swing.filefilters.LogImportFileFilter,class,0,8,2,0,5,1,2,2,0,0,0,0,0,44
de.huxhorn.lilith.swing.table.model.BufferTableModel,class,11,76,1,0,39,235,26,21,0,10,0,1,3,303
de.huxhorn.lilith.swing.preferences.SoundLocationTableModelEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,25
de.huxhorn.lilith.swing.linklistener.StackTraceElementLinkListenerEvoSuiteTest,class,9,4,1,0,4,3,3,3,1,0,0,0,0,39
de.huxhorn.lilith.swing.LoggingEventViewPanel,class,11,4,6,0,4,6,4,1,0,0,0,0,0,46
de.huxhorn.lilith.logback.servlet.LogbackShutdownServletContextListener,class,5,5,1,0,4,3,3,2,0,0,0,0,0,53
de.huxhorn.lilith.data.access.protobuf.AccessEventWrapperProtobufDecoder,class,10,31,1,0,25,9,7,7,3,1,0,0,6,130
de.huxhorn.lilith.swing.HtmlTransferable,class,1,12,1,0,7,4,5,5,0,5,2,3,0,83
de.huxhorn.lilith.data.logging.ThrowableInfo,class,2,42,1,0,11,19,14,14,0,6,0,1,2,125
de.huxhorn.lilith.swing.callables.IndexingCallable,class,9,27,2,0,23,0,5,4,1,3,0,0,2,155
de.huxhorn.lilith.swing.ViewContainerFrame,class,7,24,6,0,26,69,14,14,0,4,0,0,0,110
de.huxhorn.lilith.swing.table.renderer.ThrowableRendererEvoSuiteTest,class,6,4,1,0,6,6,4,4,1,0,0,0,0,55
de.huxhorn.lilith.logback.classic.NoOpNDCAdapter,class,2,8,1,0,0,28,8,8,0,0,0,0,0,50
de.huxhorn.lilith.swing.LoggingEventViewPanelEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
de.huxhorn.lilith.data.logging.logback.LogbackLoggingAdapterTest,class,11,28,2,0,33,2,5,2,0,2,0,0,0,183
