class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
org.exolab.jms.net.orb.DefaultORB,class,26,75,2,0,50,208,23,17,0,12,0,4,3,586
org.exolab.jms.config.SecondsDescriptor,class,8,9,2,0,0,32,9,9,0,4,0,0,0,107
org.exolab.jms.config.SchedulerConfigurationEvoSuiteTest,class,7,10,1,0,9,21,7,7,1,0,0,0,1,83
org.exolab.jms.common.threads.ThreadPoolEvoSuiteTest,class,10,7,1,0,10,15,6,6,1,0,0,0,0,60
org.exolab.jms.net.orb.ORBFactoryEvoSuiteTest,class,6,5,1,0,5,6,4,4,1,0,0,0,3,42
org.exolab.jms.net.EchoService,interface,0,9,1,0,0,36,9,9,0,0,0,0,0,116
org.exolab.jms.tools.migration.MigrationHelperEvoSuiteTest,class,7,4,1,0,6,6,4,4,1,0,0,0,2,35
org.exolab.jms.messagemgr.DurableConsumerEndpoint,class,7,11,3,0,15,0,6,6,0,3,0,0,1,201
org.exolab.jms.net.tcp.connector.TCPSConnectionFactoryTest,class,2,3,3,0,1,3,3,1,0,0,0,0,2,87
org.exolab.jms.tools.db.ColumnDescriptor,class,10,13,2,0,8,62,9,9,0,4,0,0,0,147
org.exolab.jms.net.connector.ManagedConnectionFactoryTestCase,class,14,22,2,2,31,111,18,8,0,1,0,0,1,330
org.exolab.jms.authentication.User,class,0,7,1,0,0,3,7,7,0,2,0,0,0,117
org.exolab.jms.tools.migration.DataDumper,class,9,7,1,0,14,1,2,1,2,0,0,0,4,117
org.exolab.jms.config.ConnectorsDescriptor,class,10,13,2,0,10,62,9,9,0,4,0,0,0,148
org.exolab.jms.config.XAConnectionFactoryEvoSuiteTest,class,7,8,1,0,6,10,5,5,1,0,0,0,1,69
org.exolab.jms.config.ConfigurationLoader,class,1,3,1,0,2,3,3,3,0,0,0,0,2,92
org.exolab.jms.client.JmsTopic,class,4,36,3,1,17,51,11,11,1,4,3,4,1,259
org.exolab.jms.config.ThreadPriority,class,0,1,1,0,0,0,1,1,0,0,0,0,0,26
org.exolab.jms.tools.db.PrimaryKeyEvoSuiteTest,class,9,24,1,0,16,120,16,16,1,0,0,0,1,171
org.exolab.jms.selector.IdentifierExpression,class,2,2,1,2,0,0,2,2,0,1,0,0,0,75
org.exolab.jms.net.connector.URIRequestInfo,class,4,12,1,2,8,0,9,9,0,2,0,0,2,154
org.exolab.jms.net.connector.Authenticator,interface,0,1,1,0,0,0,1,0,0,0,0,0,0,63
org.exolab.jms.client.JmsXAQueueConnection,class,8,4,3,0,2,6,4,4,0,0,0,0,0,120
org.exolab.jms.administration.net.JmsAdminConnectionImpl,class,9,54,1,0,27,0,21,20,0,1,0,0,1,321
org.exolab.jms.selector.parser.PatternValidatorEvoSuiteTest,class,5,6,1,0,5,6,4,4,1,0,0,0,3,47
org.exolab.jms.messagemgr.AbstractDestinationCacheEvoSuiteTest,class,11,9,1,0,1,10,5,5,1,0,0,0,0,84
org.exolab.jms.selector.OrEvoSuiteTest,class,6,2,1,0,1,1,2,2,1,0,0,0,0,23
org.exolab.jms.net.connector.ConnectionRequestInfo,interface,0,2,1,0,0,1,2,0,0,0,0,0,0,70
