class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
edu.uiuc.ndiipp.hubandspoke.workflow.TreeNodeWrapperEvoSuiteTest,class,5,5,1,0,5,10,5,5,1,0,0,0,0,47
edu.uiuc.ndiipp.hubandspoke.profile.HaSMETSProfile,class,69,541,2,0,403,2526,72,49,6,9,0,6,24,3125
edu.uiuc.ndiipp.hubandspoke.utils.jhove.JhoveValidator,class,2,4,1,0,10,6,4,1,4,0,0,0,9,109
edu.uiuc.ndiipp.hubandspoke.packager.PackagerException,class,0,2,3,0,0,1,2,2,0,1,0,1,0,52
edu.uiuc.ndiipp.hubandspoke.utils.HaSConstantsEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
edu.uiuc.ndiipp.hubandspoke.workflow.WorkflowManager,class,14,119,1,0,58,7,6,2,2,3,0,1,28,617
edu.uiuc.ndiipp.hubandspoke.utils.jhove.JPGSpecificApplicator,class,2,3,3,0,0,3,3,0,0,0,0,0,0,73
edu.uiuc.ndiipp.hubandspoke.profile.HaSMasterMETSProfileEvoSuiteTest,class,5,7,1,0,1,6,4,4,1,0,0,0,0,57
edu.uiuc.ndiipp.hubandspoke.packager.Hub2SwordPackagerEvoSuiteTest,class,5,7,1,0,1,6,4,4,1,0,0,0,0,56
edu.uiuc.ndiipp.hubandspoke.utils.jhove.PDFTransformerEvoSuiteTest,class,5,3,1,0,2,3,3,3,1,0,0,0,0,27
edu.uiuc.ndiipp.hubandspoke.utils.jhove.JhoveRawGenerator,class,6,5,1,0,13,8,5,3,1,2,0,1,5,149
edu.uiuc.ndiipp.hubandspoke.utils.jhove.BaseApplicator,class,2,2,2,0,1,1,2,1,0,0,0,0,0,80
edu.uiuc.ndiipp.hubandspoke.utils.jhove.TechMDAugmenterEvoSuiteTest,class,11,11,1,0,6,15,6,6,1,0,0,0,4,92
edu.uiuc.ndiipp.hubandspoke.workflow.JTextPaneAppender,class,4,23,2,0,16,33,10,3,0,6,4,0,4,80
edu.uiuc.ndiipp.hubandspoke.utils.jhove.UTFSpecificApplicatorEvoSuiteTest,class,6,4,1,0,5,6,4,4,1,0,0,0,0,36
edu.uiuc.ndiipp.hubandspoke.workflow.JTextPaneAppenderEvoSuiteTest,class,5,3,1,0,4,3,3,3,1,0,0,0,0,33
edu.uiuc.ndiipp.hubandspoke.utils.jhove.HSJhoveAppEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
edu.uiuc.ndiipp.hubandspoke.utils.jhove.SpecificApplicator,class,2,2,2,1,0,1,2,0,0,0,0,0,0,66
edu.uiuc.ndiipp.hubandspoke.utils.jhove.JhoveTransformerFactoryEvoSuiteTest,class,6,7,1,0,6,10,5,5,1,0,0,0,3,49
edu.uiuc.ndiipp.hubandspoke.workflow.FlexibleLayoutEvoSuiteTest,class,5,3,1,0,6,3,3,3,1,0,0,0,0,30
edu.uiuc.ndiipp.hubandspoke.packager.Eprints2HubPackager,class,19,51,2,0,93,61,12,5,0,7,2,4,13,586
edu.uiuc.ndiipp.hubandspoke.packager.Hub2SwordPackager,class,13,16,2,0,47,3,3,2,1,1,0,1,13,241
edu.uiuc.ndiipp.hubandspoke.utils.jhove.TIFFSpecificApplicator,class,2,3,3,0,0,3,3,0,0,0,0,0,0,73
edu.uiuc.ndiipp.hubandspoke.packager.DirectoryPackagerEvoSuiteTest,class,8,19,1,0,4,45,10,10,1,0,0,0,4,140
edu.uiuc.ndiipp.hubandspoke.utils.jhove.AIFFTransformerEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
edu.uiuc.ndiipp.hubandspoke.workflow.PackageDissemination,class,7,27,1,0,25,0,4,4,1,1,0,1,6,198
edu.uiuc.ndiipp.hubandspoke.profile.HaSMETSAppender,class,3,14,2,0,10,0,10,9,0,1,0,0,0,106
