class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
net.sourceforge.ext4j.taglib.tag.repeater.RepeaterTagTest,class,6,3,2,0,12,3,3,2,0,0,0,0,0,83
net.sourceforge.ext4j.taglib.tag.ForEachTag,class,2,3,2,0,5,0,1,0,0,1,0,1,0,21
net.sourceforge.ext4j.taglib.tag.FunctionsTest,class,2,10,1,0,13,26,8,8,0,1,0,0,28,87
net.sourceforge.ext4j.log.log4j.ExtrasPatternLayoutTest,class,4,1,1,0,5,0,1,1,0,0,0,0,0,24
net.sourceforge.ext4j.log.log4j.RequestURIConverterEvoSuiteTest,class,7,3,1,0,2,1,2,2,1,0,0,0,0,30
com.tripfilms.os.exttaglib.pagination.datatype.ObjectFactoryEvoSuiteTest,class,5,5,1,0,4,10,5,5,1,0,0,0,0,37
net.sourceforge.ext4j.log.logback.StubRequestInfoExtractorEvoSuiteTest,class,5,7,1,0,7,21,7,7,1,0,0,0,0,53
net.sourceforge.ext4j.log.ExecutionContextEvoSuiteTest,class,6,4,1,0,4,6,4,4,1,0,0,0,2,32
net.sourceforge.ext4j.taglib.tag.JspWriterStub,class,2,28,2,0,9,0,28,28,0,1,0,0,0,202
net.sourceforge.ext4j.log.log4j.ExtrasPatternParser,class,5,12,2,0,5,1,2,1,0,0,0,0,2,30
net.sourceforge.ext4j.taglib.tag.PaginationTagTest,class,5,17,1,0,41,45,10,7,0,0,0,0,8,169
net.sourceforge.ext4j.taglib.tag.repeater.TagBaseTest,class,11,8,1,5,14,13,7,1,0,3,0,0,0,73
net.sourceforge.ext4j.taglib.tag.PaginationTag,class,11,55,3,0,31,203,23,19,1,18,0,9,7,236
net.sourceforge.ext4j.taglib.tag.BaseSingleBox,class,4,9,2,1,7,21,7,7,0,2,0,1,0,68
net.sourceforge.ext4j.taglib.tag.SimpleBreadcrumbsTag,class,7,22,2,0,22,52,12,11,0,10,6,7,8,137
net.sourceforge.ext4j.log.log4j.ExtrasPatternParserEvoSuiteTest,class,5,7,1,0,1,21,7,7,1,0,0,0,0,47
