class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
com.jstevh.tools.StringToolsEvoSuiteTest,class,5,8,1,0,8,21,7,7,1,0,0,0,5,90
com.jstevh.tools.StringTools,class,1,27,1,0,10,0,4,3,3,1,0,1,0,131
com.jstevh.tools.StringListEvoSuiteTest,class,5,8,1,0,9,21,7,7,1,0,0,0,0,64
com.jstevh.tools.StringList,class,1,10,1,0,7,0,8,8,0,3,0,0,0,74
com.jstevh.viewer.SAXDirParser,class,6,61,2,0,18,22,12,12,7,11,1,6,1,187
com.jstevh.viewer.MethodData,interface,0,3,1,0,0,3,3,3,0,0,0,0,0,41
com.jstevh.viewer.SAXDirParserEvoSuiteTest,class,10,22,1,0,14,210,21,21,1,0,0,0,16,168
com.jstevh.viewer.ClassViewerEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
com.jstevh.viewer.ClassInfoEvoSuiteTest,class,6,6,1,0,4,6,4,4,1,0,0,0,2,46
com.jstevh.viewer.ClassInfo,class,5,160,1,0,47,31,23,18,4,12,2,3,17,506
com.jstevh.viewer.ClassViewer,class,6,213,7,0,139,432,36,26,1,57,8,11,20,913
com.jstevh.viewer.DirManagerEvoSuiteTest,class,6,10,1,0,12,45,10,10,1,0,0,0,0,83
com.jstevh.viewer.DirManager,class,5,26,1,0,25,4,13,12,1,7,3,3,11,167
