class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
src.VassalsEvoSuiteTest,class,5,13,1,0,14,66,12,12,1,0,0,0,0,90
src.Vassals,class,2,12,1,0,5,50,12,12,0,5,0,1,0,76
src.feudalismGUI.TabbedInterfaceEvoSuiteTest,class,5,6,1,0,5,6,4,4,1,0,0,0,0,49
src.GameCmdBean,class,0,5,1,0,0,0,5,5,0,3,0,1,0,49
src.CommandBean,class,0,6,1,0,0,3,6,6,0,3,0,1,0,26
src.XMLable,class,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src.SAXParser,class,2,4,1,0,3,1,2,2,2,0,0,0,0,40
src.XMLParser,class,4,10,1,0,20,3,3,1,3,0,0,0,13,128
src.feudalismTests.CommandHandler,interface,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src.CurrentPlayers,class,1,9,1,0,11,0,3,3,3,1,1,1,1,56
src.VassalRebellionTest,class,4,1,2,0,8,0,1,1,0,0,0,0,0,16
src.Fiefdoms,class,6,109,1,0,27,981,47,47,0,18,1,0,0,301
src.feudalismGUI.GUITest,class,3,4,2,0,19,3,3,3,0,0,0,0,2,49
src.Knight,class,8,135,1,0,60,1586,60,60,0,20,0,0,4,403
src.Battle,class,9,486,2,0,49,28,8,8,0,0,0,0,3,1147
src.feudalismTests.SAXEncoderTest,class,2,2,2,0,7,1,2,2,0,0,0,0,2,26
src.feudalismGUI.AddUser,class,3,22,6,0,32,20,9,9,0,17,0,1,7,135
src.Retainers,class,2,12,1,0,3,44,12,12,0,5,0,1,0,75
src.GameController,class,2,4,1,0,6,0,1,1,0,0,0,0,1,23
src.VotingEvoSuiteTest,class,5,4,1,0,3,3,3,3,1,0,0,0,0,37
src.XMLUpdaterEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
src.King,class,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src.Move,class,3,14,2,0,18,0,2,1,0,2,0,0,4,60
src.Intruders,class,1,10,1,0,0,33,10,10,0,2,0,0,0,34
src.Actions,class,1,1,1,7,0,0,1,1,0,0,0,0,0,6
src.XMLParserEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
src.feudalismGUI.EditUserEvoSuiteTest,class,5,17,1,0,17,105,15,15,1,0,0,0,0,119
src.AidTool,class,0,2,2,0,8,1,2,2,1,0,0,0,4,16
src.feudalismTests.HashMapSandBoxTest,class,4,2,2,0,8,1,2,2,0,0,0,0,0,25
src.VassalRebellion,class,3,9,2,0,11,0,1,1,0,1,0,0,0,33
src.VassalRebellionEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
src.feudalismTests.FiefdomsTest,class,2,23,2,0,7,253,23,23,0,0,0,0,2,65
src.feudalismGUI.TabbedInterface,class,4,13,7,0,15,0,10,10,0,7,4,4,2,68
src.feudalismTests.XercesCheckerTest,class,2,3,2,0,16,0,1,1,0,0,0,0,1,107
src.Player,interface,0,6,1,0,0,15,6,6,0,0,0,0,0,13
src.ActionItem,interface,0,1,1,0,0,0,1,1,0,0,0,0,0,5
src.RollEvent,class,3,13,1,0,21,3,3,3,1,1,0,0,1,69
src.GameAutoActions,class,2,3,1,0,5,3,3,3,3,0,0,0,4,17
src.feudalismTests.KnightTest,class,2,24,2,0,10,231,22,22,0,1,0,0,0,68
src.feudalismTests.HashMapSandBox,class,1,2,1,0,2,0,2,2,0,1,0,0,0,13
src.feudalismGUI.EditFiefdomEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
src.feudalismGUI.AddUserEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
src.SAXEncoder,class,2,4,1,0,3,1,2,2,2,0,0,0,0,34
src.feudalismGUI.EditFiefdom,class,2,30,5,0,27,30,9,6,0,26,0,0,9,174
src.feudalismTests.VotingTest,class,2,1,2,0,1,0,1,1,0,0,0,0,0,17
src.feudalismTests.PurchaseTest,class,4,6,2,0,25,6,4,4,0,0,0,0,5,154
src.Map,class,1,8,1,0,6,0,2,2,2,1,1,1,1,25
src.XMLableEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
src.XMLUpdater,class,0,0,1,0,0,0,0,0,0,0,0,0,0,3
src.PeasantUprising,class,2,1,2,0,7,0,1,1,0,0,0,0,0,11
src.feudalismGUI.GridLayout2,class,1,37,2,0,15,15,6,6,0,0,0,0,0,148
src.SendObject,class,0,4,2,0,5,0,2,2,0,3,0,0,0,31
src.feudalismTests.MoveTest,class,4,1,2,0,20,0,1,1,0,0,0,0,1,50
src.Mercenaries,class,1,12,1,0,0,50,12,12,0,5,0,1,0,73
src.Voting,class,1,4,2,0,7,0,2,2,0,3,0,0,0,24
src.feudalismTests.XMLHandler,class,9,27,2,0,47,10,9,4,0,2,0,0,10,144
src.feudalismGUI.EditUser,class,7,63,6,0,71,168,30,29,0,42,0,0,13,350
src.feudalismTests.BattleTest,class,4,1,2,0,12,0,1,1,0,0,0,0,2,77
src.Purchase,class,3,43,2,0,29,10,5,5,0,0,0,0,6,166
src.feudalismTests.KillTest,class,2,2,2,0,16,0,1,1,0,0,0,0,1,31
src.Invasion,class,2,7,2,0,16,0,1,1,0,3,0,3,0,30
src.feudalismTests.XercesSandBox,class,1,3,1,0,2,1,2,2,2,1,1,1,0,29
src.feudalismGUI.GridLayout2EvoSuiteTest,class,5,8,1,0,11,21,7,7,1,0,0,0,0,70
