class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
Newzgrabber.BufferedCustomInputStreamEvoSuiteTest,class,6,9,1,0,11,28,8,8,1,0,0,0,0,79
Newzgrabber.OptionsPanel,class,7,82,5,0,62,0,5,4,0,16,0,5,13,371
Newzgrabber.SongInfo,class,2,12,1,0,10,4,5,5,1,3,0,0,0,55
Newzgrabber.SearchPanelEvoSuiteTest,class,5,9,1,0,12,36,9,9,1,0,0,0,0,86
Newzgrabber.SortFilterModel,class,1,38,2,0,20,170,20,19,0,9,1,1,1,184
Newzgrabber.BatchJobEvoSuiteTest,class,8,19,1,0,20,115,13,13,2,1,0,1,1,145
Newzgrabber.AboutPanelEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,23
Newzgrabber.DirectoryDialogEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
Newzgrabber.StringCompare,class,0,2,1,0,2,1,2,2,0,0,0,0,0,14
Newzgrabber.StatsDialog,class,1,6,6,0,18,1,2,2,0,5,0,0,0,83
Newzgrabber.NewsFactory,class,1,39,1,0,14,16,8,8,4,4,0,4,3,122
Newzgrabber.SortFilterModelEvoSuiteTest,class,5,24,1,0,25,190,20,20,1,0,0,0,0,212
Newzgrabber.SongList,class,2,22,1,0,22,0,4,3,0,1,0,0,0,137
Newzgrabber.StatsDialogEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
Newzgrabber.DirectoryDialog,class,3,52,6,0,36,100,17,16,0,16,0,3,7,250
Newzgrabber.IniUtilityEvoSuiteTest,class,5,3,1,0,3,3,3,3,1,0,0,0,1,28
Newzgrabber.GroupsPanel,class,5,45,5,0,37,0,7,5,0,20,0,2,3,273
Newzgrabber.MimeDecoder,class,1,14,1,0,2,52,12,12,0,10,2,0,1,66
Newzgrabber.StringSorterEvoSuiteTest,class,5,4,1,0,7,6,4,4,1,0,0,0,0,38
Newzgrabber.NewzgrabberEvoSuiteTest,class,4,2,1,0,1,1,2,2,1,0,0,0,1,21
Newzgrabber.NewzbatchEvoSuiteTest,class,5,4,1,0,2,3,3,3,1,0,0,0,1,31
Newzgrabber.DirectoryFilterEvoSuiteTest,class,5,4,1,0,4,3,3,3,1,0,0,0,0,34
Newzgrabber.MultiLineLabel,class,1,29,3,0,15,87,19,17,0,12,3,3,0,118
Newzgrabber.OptionsPanelEvoSuiteTest,class,5,6,1,0,6,15,6,6,1,0,0,0,0,63
Newzgrabber.MimeDecoderEvoSuiteTest,class,8,13,1,0,14,66,12,12,1,0,0,0,1,112
Newzgrabber.LineData,class,3,108,1,0,35,24,9,9,2,8,0,0,13,371
Newzgrabber.NNTPEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
Newzgrabber.yEncDecoder,class,4,68,2,0,26,15,6,4,1,2,0,1,1,178
Newzgrabber.SongInfoEvoSuiteTest,class,6,5,1,0,6,10,5,5,1,0,0,0,1,48
Newzgrabber.IniUtility,class,0,11,1,0,9,1,2,2,2,0,0,0,1,51
Newzgrabber.DirectoryChooser,class,0,3,5,0,7,3,3,3,0,0,0,0,0,24
Newzgrabber.GroupsDialogEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
Newzgrabber.NewsFile,class,0,17,1,0,15,6,4,4,4,0,0,0,3,71
Newzgrabber.StatusEvoSuiteTest,class,5,4,1,0,3,6,4,4,1,0,0,0,0,37
Newzgrabber.DirectoryChooserEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
Newzgrabber.MessageDialogEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
Newzgrabber.UUDecoder,class,4,29,2,0,14,10,5,3,1,0,0,0,0,113
Newzgrabber.TransferPanelEvoSuiteTest,class,5,6,1,0,4,10,5,5,1,0,0,0,3,39
Newzgrabber.Newzbatch,class,8,63,1,0,46,2,4,4,1,6,2,3,10,249
Newzgrabber.Ini,class,1,37,1,0,26,10,9,8,1,3,0,0,0,167
Newzgrabber.BatchJob,class,0,16,1,0,4,37,11,11,0,8,0,0,0,75
Newzgrabber.UUDecoderEvoSuiteTest,class,6,5,1,0,3,3,3,3,1,0,0,0,0,44
Newzgrabber.SearchPanel,class,10,94,5,0,65,54,11,11,1,15,1,1,4,402
Newzgrabber.Status,class,0,7,1,0,4,0,4,3,0,3,0,1,1,35
Newzgrabber.Search,class,0,16,1,0,17,1,2,2,2,0,0,0,6,67
Newzgrabber.PassEnc,class,0,8,1,0,9,3,3,3,3,0,0,0,3,49
Newzgrabber.StringCompareEvoSuiteTest,class,5,5,1,0,3,3,3,3,1,0,0,0,0,42
Newzgrabber.MultiLineLabelEvoSuiteTest,class,5,23,1,0,25,153,18,18,1,0,0,0,1,185
Newzgrabber.NewsFactoryEvoSuiteTest,class,4,2,1,0,1,1,2,2,1,0,0,0,1,21
Newzgrabber.LineDataEvoSuiteTest,class,6,5,1,0,6,6,4,4,1,0,0,0,1,43
Newzgrabber.PassEncEvoSuiteTest,class,5,4,1,0,4,6,4,4,1,0,0,0,2,34
Newzgrabber.DownloaderEvoSuiteTest,class,6,19,1,0,19,153,18,18,1,0,0,0,0,146
Newzgrabber.StringSorter,class,2,13,3,0,10,8,5,5,1,1,0,0,1,63
Newzgrabber.BufferedCustomInputStream,class,3,42,4,0,17,28,12,12,1,5,0,0,0,119
Newzgrabber.SubjectParser,class,2,36,1,0,24,16,8,7,1,5,0,0,7,246
Newzgrabber.SongListEvoSuiteTest,class,5,5,1,0,7,10,5,5,1,0,0,0,0,47
Newzgrabber.BatchDriverEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,27
Newzgrabber.CustomFileOutputStream,class,0,7,3,0,2,0,3,3,0,2,0,0,0,24
Newzgrabber.GroupsPanelEvoSuiteTest,class,5,5,1,0,9,10,5,5,1,0,0,0,0,46
Newzgrabber.SubjectParserEvoSuiteTest,class,5,5,1,0,6,10,5,5,1,0,0,0,0,47
Newzgrabber.CreateDirectoryDialogEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
Newzgrabber.AboutPanel,class,1,1,5,0,3,0,1,1,0,0,0,0,0,16
Newzgrabber.NNTP,class,3,60,2,0,39,72,17,14,1,10,0,0,1,223
Newzgrabber.Newzgrabber,class,16,84,6,0,65,60,13,13,3,15,14,14,17,366
Newzgrabber.Downloader,class,7,265,1,0,54,136,20,18,0,26,1,5,11,592
Newzgrabber.BatchDriver,class,4,34,1,0,20,0,4,4,0,8,0,0,6,151
Newzgrabber.Base64Decoder,class,4,45,2,0,9,1,2,2,0,1,0,0,0,122
Newzgrabber.CustomFileOutputStreamEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
Newzgrabber.CreateDirectoryDialog,class,0,7,6,0,12,0,3,3,0,4,0,0,0,52
Newzgrabber.IniEvoSuiteTest,class,5,5,1,0,5,6,4,4,1,0,0,0,0,43
Newzgrabber.SearchEvoSuiteTest,class,5,4,1,0,3,6,4,4,1,0,0,0,2,34
Newzgrabber.Base64DecoderEvoSuiteTest,class,6,2,1,0,3,1,2,2,1,0,0,0,0,30
Newzgrabber.MessageDialog,class,1,8,6,0,12,3,6,5,0,4,0,0,0,59
Newzgrabber.DirectoryFilter,class,0,2,2,0,1,1,2,2,0,0,0,0,0,18
Newzgrabber.yEncDecoderEvoSuiteTest,class,6,3,1,0,4,3,3,3,1,0,0,0,1,37
Newzgrabber.GroupsDialog,class,2,24,6,0,34,0,3,3,0,10,0,1,1,142
Newzgrabber.NewsFileEvoSuiteTest,class,5,5,1,0,3,10,5,5,1,0,0,0,3,37
Newzgrabber.TransferPanel,class,4,83,5,0,65,16,11,10,3,16,2,8,13,466
