class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
macaw.presentationLayer.MacawStateEditor,class,15,32,1,1,43,92,20,8,0,15,0,0,4,274
macaw.presentationLayer.VariableLabelTableModel,class,4,53,2,0,27,1,14,13,0,9,3,3,4,264
org.sourceforge.ifx.basetypes.IFXObject,class,2,51,1,1176,23,10,5,2,0,1,0,1,6,219
net.sourceforge.squirrel_sql.client.gui.HtmlViewerPanel,class,8,54,5,0,50,140,18,10,0,9,0,2,3,343
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame,class,15,79,12,0,103,190,23,7,0,25,0,4,8,682
net.sourceforge.squirrel_sql.client.mainframe.action.ToggleTreeViewAction,class,7,9,4,0,6,0,3,3,0,3,0,1,0,42
net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeCellRenderer,class,4,26,6,0,27,7,5,2,0,6,0,0,0,126
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser,class,13,504,1,0,144,1031,110,6,0,15,0,6,0,1741
net.sourceforge.squirrel_sql.client.update.gui.installer.PreLaunchHelperImpl,class,17,52,1,0,46,118,19,11,0,14,0,0,13,389
com.rakegroup.JoomlaOutput,class,38,117,52,0,26,3623,86,85,1,10,0,0,2,413
net.kencochrane.a4j.beans.BrowseNode,class,1,22,1,0,8,35,14,14,0,3,0,0,0,95
com.atlassw.tools.eclipse.checkstyle.config.Module,class,6,47,1,0,21,125,19,19,0,9,0,0,1,315
corina.gui.ElementsPanel,class,12,80,9,0,85,216,19,17,0,14,4,4,7,490
fi.vtt.noen.testgen.observations.formatter.NoenFormatter,class,6,15,2,0,14,15,6,6,0,1,0,1,0,88
fi.vtt.noen.mfw.bundle.server.plugins.sac.SACPluginActivator,class,7,31,2,0,22,0,8,5,0,9,0,2,6,184
de.huxhorn.lilith.engine.AccessFileBufferFactory,class,9,10,2,0,3,1,2,2,0,0,0,0,0,66
de.huxhorn.lilith.consumers.AlarmSoundLoggingEventConsumer,class,4,10,1,0,3,0,3,3,0,1,0,0,0,57
wheel.EngineImpl,class,29,190,2,0,125,412,36,30,0,25,0,0,1,578
Newzgrabber.Search,class,0,16,1,0,17,1,2,2,2,0,0,0,6,67
com.lts.swing.table.JTableUtils,class,4,43,3,0,34,99,15,15,12,1,0,0,1,354
com.lts.swing.contentpanel.CPMouseListener,class,1,17,2,0,14,16,8,8,0,1,0,0,0,107
com.lts.util.scheduler.NewScheduler,class,5,43,2,0,20,45,14,7,2,8,4,2,4,168
com.lts.caloriecount.ui.entry.EntryListView,class,9,29,10,0,30,135,13,3,1,3,1,1,7,171
org.quickserver.util.xmlreader.AccessConstraintConfig,class,2,13,1,0,15,0,4,4,0,2,0,1,1,75
com.eteks.sweethome3d.viewcontroller.RoomController,class,16,149,2,0,72,138,38,34,2,44,0,0,5,647
com.eteks.sweethome3d.viewcontroller.PhotoController,class,16,88,1,0,50,305,34,31,0,19,0,0,8,373
freemind.controller.printpreview.PreviewDialog,class,4,13,6,0,17,10,5,2,0,3,0,1,2,102
freemind.modes.filemode.FileNodeModel,class,5,31,2,0,26,24,12,11,0,2,0,0,2,152
accessories.plugins.NewParentNode,class,3,22,4,0,34,6,4,2,0,0,0,0,1,165
dk.statsbiblioteket.summa.common.rpc.ConnectionConsumer,class,12,21,1,0,15,0,7,7,0,13,9,10,2,239
com.yahoo.platform.yui.compressor.ScriptOrFnScope,class,2,41,1,0,18,21,11,0,0,7,0,0,0,138
weka.core.tokenizers.AlphabeticTokenizer,class,3,13,2,0,4,9,6,6,1,3,0,1,2,125
weka.core.Version,class,3,35,1,0,21,26,8,7,2,5,5,5,8,258
com.sap.managementconsole.soap.axis.sapcontrol.DirEntry,class,7,28,1,0,12,32,13,13,3,6,0,1,0,173
org.heal.module.metadata.CompleteMetadataBean,class,14,89,3,0,90,786,44,43,0,13,0,0,1,461
org.exolab.jms.tools.admin.AdminInfo,class,5,18,6,0,18,0,2,2,0,3,0,0,9,149
com.browsersoft.openhre.hl7.impl.parser.HL7CheckerImpl,class,12,122,1,0,75,0,38,27,0,4,0,0,2,296
com.hf.sfm.util.DaoFactory,class,4,22,1,3,18,29,11,11,0,6,4,1,4,110
org.jsecurity.web.attr.CookieAttribute,class,11,35,2,0,27,62,16,15,1,9,5,6,7,257
de.beiri22.stringincrementor.helper.IndexedString,class,2,16,1,0,3,0,3,2,0,2,0,0,0,66
org.databene.jdbacl.SQLUtil,class,10,154,1,0,97,946,44,36,44,4,0,4,54,444
org.firebirdsql.gds.impl.wire.isc_stmt_handle_impl,class,7,54,2,0,7,560,36,35,1,16,0,1,2,194
com.liferay.portlet.documentlibrary.util.comparator.RepositoryModelCreateDateComparator,class,6,19,2,0,7,21,7,6,0,4,3,3,1,88
com.liferay.portal.deploy.hot.HookHotDeployListener,class,108,525,2,0,416,4351,94,53,0,67,1,11,181,2557
com.liferay.taglib.theme.DefineObjectsTag,class,3,9,2,0,19,0,1,1,0,0,0,0,0,64
com.liferay.portal.service.persistence.TeamFinderImpl,class,10,46,2,0,40,19,7,2,0,4,4,4,23,194
com.liferay.portal.kernel.scheduler.CronText,class,1,25,1,0,5,30,9,9,0,10,7,7,8,133
com.liferay.util.PwdGenerator,class,2,43,1,0,22,43,11,9,11,5,3,5,15,120
com.liferay.portal.security.pacl.checker.PortalHookChecker,class,4,56,2,0,19,36,9,2,0,8,0,1,1,164
com.liferay.portal.model.impl.OrganizationModelImpl,class,13,107,2,1,71,1176,49,49,2,44,24,26,16,567
com.liferay.portlet.documentlibrary.model.impl.DLFileEntryModelImpl,class,13,227,2,1,140,4095,91,91,2,69,22,24,17,1085
com.liferay.portal.servlet.AxisServlet,class,7,9,3,0,8,1,2,2,0,1,0,0,9,86
com.liferay.portal.lar.PortletImporter,class,46,307,1,0,244,435,30,1,0,2,0,1,155,1522
com.liferay.portlet.shopping.model.ShoppingCategoryWrapper,class,6,70,1,0,66,1225,50,50,0,1,0,0,0,362
com.liferay.portal.spring.context.ArrayApplicationContext,class,4,10,2,0,8,1,2,1,0,1,0,1,1,52
com.liferay.portal.kernel.messaging.proxy.ProxyMessageListener,class,7,16,1,0,19,3,3,3,0,3,0,1,3,84
com.liferay.portlet.polls.model.impl.PollsChoiceModelImpl,class,13,101,2,0,61,1176,49,49,2,30,16,18,27,480
com.liferay.portal.kernel.notifications.NotificationEventComparator,class,1,11,1,0,4,3,3,3,0,1,0,0,0,53
com.liferay.taglib.portletext.IconMinimizeTag,class,2,7,7,0,14,0,1,0,0,1,0,1,1,53
com.liferay.portlet.calendar.model.impl.CalEventModelImpl,class,13,190,2,1,126,3160,80,80,2,57,19,21,15,938
com.liferay.portal.kernel.cluster.ClusterExecutorUtil,class,9,48,1,0,22,120,16,16,15,2,0,2,19,152
