file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/encodings/Encoding_Cp852EvoSuiteTest.java,org.firebirdsql.encodings.Encoding_Cp852EvoSuiteTest,class,7,6,1,0,4,6,4,4,1,0,0,0,0,53
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/ds/PooledConnectionHandlerEvoSuiteTest.java,org.firebirdsql.ds.PooledConnectionHandlerEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,28
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/src/main/java/org/firebirdsql/jdbc/FBClob.java,org.firebirdsql.jdbc.FBClob,class,5,33,1,0,18,64,16,16,0,1,0,0,2,309
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/src/main/java/org/firebirdsql/encodings/Encoding_OneByte.java,org.firebirdsql.encodings.Encoding_OneByte,class,3,12,1,32,6,28,8,6,2,0,0,0,1,88
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/src/main/java/org/firebirdsql/management/TraceManager.java,org.firebirdsql.management.TraceManager,interface,1,7,1,0,0,21,7,0,0,0,0,0,0,112
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/jdbc/field/FBStringFieldEvoSuiteTest.java,org.firebirdsql.jdbc.field.FBStringFieldEvoSuiteTest,class,17,41,1,0,29,231,22,22,1,0,0,0,2,289
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/gds/impl/wire/TransactionParameterBufferImplEvoSuiteTest.java,org.firebirdsql.gds.impl.wire.TransactionParameterBufferImplEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,24
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/jdbc/FBUpdatableCursorFetcherEvoSuiteTest.java,org.firebirdsql.jdbc.FBUpdatableCursorFetcherEvoSuiteTest,class,11,3,1,0,2,1,2,2,1,0,0,0,0,39
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/encodings/Encoding_Cp1251EvoSuiteTest.java,org.firebirdsql.encodings.Encoding_Cp1251EvoSuiteTest,class,7,6,1,0,4,6,4,4,1,0,0,0,0,53
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/jdbc/FBRowUpdaterEvoSuiteTest.java,org.firebirdsql.jdbc.FBRowUpdaterEvoSuiteTest,class,12,3,1,0,1,1,2,2,1,0,0,0,0,46
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/gds/impl/GDSTypeEvoSuiteTest.java,org.firebirdsql.gds.impl.GDSTypeEvoSuiteTest,class,5,5,1,0,7,6,4,4,1,0,0,0,3,40
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/src/main/java/org/firebirdsql/gds/impl/AbstractIscDbHandle.java,org.firebirdsql.gds.impl.AbstractIscDbHandle,class,5,37,1,1,13,525,35,31,0,13,0,0,3,173
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/encodings/Encoding_ISO8859_6EvoSuiteTest.java,org.firebirdsql.encodings.Encoding_ISO8859_6EvoSuiteTest,class,7,6,1,0,4,6,4,4,1,0,0,0,0,53
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/jdbc/parser/JaybirdSqlLexerEvoSuiteTest.java,org.firebirdsql.jdbc.parser.JaybirdSqlLexerEvoSuiteTest,class,16,80,1,0,42,1225,50,50,1,0,0,0,0,545
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/gds/impl/jni/isc_stmt_handle_implEvoSuiteTest.java,org.firebirdsql.gds.impl.jni.isc_stmt_handle_implEvoSuiteTest,class,10,41,1,0,38,741,39,39,1,0,0,0,0,369
/Users/grano/Desktop/ist-generation-scripts/SF110-src/110_firebird/evosuite-tests/org/firebirdsql/jca/FBTpbEvoSuiteTest.java,org.firebirdsql.jca.FBTpbEvoSuiteTest,class,8,9,1,0,8,36,9,9,1,0,0,0,0,76
