class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
gui.gl.Util3DEvoSuiteTest,class,21,28,1,0,26,190,20,20,1,0,0,0,18,182
module.ClientNetworkModule,class,10,29,2,0,22,16,9,4,0,1,0,0,3,141
gui.ToolTipRenderer,class,0,6,6,0,8,0,1,1,0,0,0,0,1,35
module.GUIModuleEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
gui.DebugPanelEvoSuiteTest,class,7,3,1,0,7,3,3,3,1,0,0,0,0,40
gui.ChatListener,class,0,3,2,0,3,0,1,1,0,0,0,0,0,27
gui.GroupPanelEvoSuiteTest,class,7,3,1,0,1,1,2,2,1,0,0,0,0,32
module.KernelEvoSuiteTest,class,7,21,1,0,23,120,16,16,1,0,0,0,3,163
map.TileMap,class,5,28,3,0,22,30,13,9,0,4,0,0,5,249
module.ModuleInfoEvoSuiteTest,class,6,6,1,0,6,10,5,5,1,0,0,0,0,45
gui.StatsWindowEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
gui.gl.FrameStatsEvoSuiteTest,class,6,4,1,0,4,3,3,3,1,0,0,0,2,36
AdminGUI,class,7,18,6,0,36,2,5,5,1,9,0,0,2,149
MapEditPaneEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,15
map.DefaultNodeEvoSuiteTest,class,7,43,1,0,39,741,39,39,1,0,0,0,0,346
gui.gl.CameraEvoSuiteTest,class,12,6,1,0,8,15,6,6,1,0,0,0,0,67
state.Player,class,5,47,2,0,23,425,35,34,0,18,3,3,3,320
gui.PlayerTree,class,0,1,5,0,7,0,1,1,0,0,0,0,0,30
state.GameStateEvoSuiteTest,class,8,33,1,0,32,528,33,33,1,0,0,0,0,392
module.MessageFactory,class,3,11,2,0,10,34,9,8,7,1,0,1,9,103
module.MessageTimeoutException,class,0,1,3,0,0,0,1,0,0,0,0,0,0,16
gui.WorldPanelEvoSuiteTest,class,7,5,1,0,7,6,4,4,1,0,0,0,0,43
module.NetworkModule,interface,3,2,1,0,0,1,2,2,0,0,0,0,0,34
gui.gl.ParticleManager,class,5,15,1,0,11,0,5,5,0,4,1,1,1,96
state.PlayerEvoSuiteTest,class,6,29,1,0,30,406,29,29,1,0,0,0,0,388
map.VisibilityMapEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,31
module.IRCSession,class,11,87,2,0,43,124,20,17,0,12,0,2,15,423
gui.GUIGLState,class,7,20,3,0,25,0,5,3,0,7,1,0,2,110
module.ModuleBrowserDialog,class,9,60,12,0,69,140,21,12,1,14,0,0,4,343
module.ServerConnectionListener,class,12,51,3,0,32,24,12,7,0,8,0,1,8,275
MapCellEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,23
gui.gl.HudOverlayEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
MapMiniPaneEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,21
gui.AudioManagerEvoSuiteTest,class,5,19,1,0,10,78,13,13,1,0,0,0,0,117
gui.ServerGUIEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
gui.gl.Camera,class,4,13,1,0,6,0,9,7,0,5,0,0,0,62
MapEditEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,15
gui.gl.CameraControlEvoSuiteTest,class,11,8,1,0,9,28,8,8,1,0,0,0,0,114
module.GameModuleEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
module.MessageEvoSuiteTest,class,8,29,1,0,33,325,26,26,1,0,0,0,7,211
module.Logger,class,10,55,2,0,37,13,6,1,0,6,0,2,8,200
module.ModuleUnloadException,class,1,6,3,0,0,15,6,0,0,0,0,0,0,31
gui.ChatPanel,class,8,28,11,0,39,34,12,7,0,11,0,0,3,226
gui.gl.WorldEvoSuiteTest,class,12,26,1,0,31,190,20,20,1,0,0,0,0,196
gui.ChatPanelEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,31
state.TextMessage,class,2,15,1,0,2,22,13,13,0,9,4,3,2,112
util.AbstractFactoryEvoSuiteTest,class,7,6,1,0,11,15,6,6,1,0,0,0,5,58
gui.WorldPanel,class,10,64,7,0,48,39,15,14,0,18,0,0,9,300
module.MessageDeliveryException,class,2,4,3,0,0,6,4,0,0,0,0,0,0,25
gui.GroupPanel,class,11,24,5,0,24,0,4,4,0,8,0,0,2,155
gui.PlayerTreeRenderer,class,3,11,6,0,6,0,3,3,0,4,0,0,0,73
gui.WorldGLPanelEvoSuiteTest,class,7,3,1,0,1,1,2,2,1,0,0,0,0,28
util.Packer,class,5,41,1,0,17,465,31,31,31,0,0,0,22,312
state.GameEventEvoSuiteTest,class,6,12,1,0,12,66,12,12,1,0,0,0,0,92
module.GameModule,class,21,138,2,0,83,0,16,11,0,14,2,0,30,600
map.Map,interface,2,5,1,0,0,10,5,5,0,0,0,0,0,75
gui.gl.GLWorldPanelEvoSuiteTest,class,7,3,1,0,1,1,2,2,1,0,0,0,0,28
gui.gl.ActorEvoSuiteTest,class,8,5,1,0,4,6,4,4,1,0,0,0,2,41
state.NetworkDataEvoSuiteTest,class,9,7,1,0,7,21,7,7,1,0,0,0,0,61
map.AbstractMap,class,6,117,1,0,27,0,11,7,0,3,0,3,7,550
gui.gl.NodeTextOverlayEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
module.LoggerEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
gui.gl.ParticleEvoSuiteTest,class,6,2,1,0,0,1,2,2,1,0,0,0,0,27
gui.gl.Particle,class,10,9,1,0,10,3,6,5,0,10,0,1,1,103
module.ConfigModule,class,8,56,2,0,37,0,9,7,0,4,0,0,2,259
gui.gl.CameraControl,class,12,34,1,0,27,98,16,9,0,18,0,0,3,163
module.MessageProcessingException,class,2,7,3,0,0,21,7,7,0,0,0,0,0,36
gui.gl.PickRayEvoSuiteTest,class,9,3,1,0,5,3,3,3,1,0,0,0,0,41
util.TaintedByteArrayInputStreamEvoSuiteTest,class,6,2,1,0,3,1,2,2,1,0,0,0,0,24
MapTileViewEvoSuiteTest,class,7,8,1,0,11,15,6,6,1,0,0,0,0,65
MapEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,28
module.IRCSessionEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,31
util.TaintedByteArrayOutputStream,class,1,3,3,0,0,3,3,3,0,0,0,0,0,13
map.PathNotFoundException,class,0,2,3,0,0,1,2,2,0,0,0,0,0,14
gui.PlayerListModelEvoSuiteTest,class,8,7,1,0,9,21,7,7,1,0,0,0,0,69
gui.gl.NodeImageOverlayEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
module.BasicRules,class,4,60,1,0,9,1,2,1,0,0,0,0,0,91
gui.gl.World,class,30,51,2,0,54,215,26,25,0,16,0,0,9,443
map.DefaultNode,class,2,43,1,0,6,549,38,38,0,11,1,0,0,328
module.ClientNetworkModuleEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
state.GameState,class,4,92,2,0,37,376,33,31,0,16,5,6,3,474
gui.ModuleBrowserDialog,class,22,131,30,0,122,833,46,28,1,31,0,0,16,827
gui.gl.ActorManagerEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,26
gui.gl.GLWorldPanel,class,3,3,5,0,3,1,3,3,0,4,0,0,0,50
gui.gl.ParticleManagerEvoSuiteTest,class,9,7,1,0,14,15,6,6,1,0,0,0,0,76
map.Node,interface,1,34,1,0,0,561,34,34,0,11,11,11,0,227
gui.ChatListenerEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,28
module.ExampleModuleEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
gui.Map,class,7,39,2,0,26,12,20,19,3,19,4,8,10,299
gui.PlayerTreeModel,class,3,39,1,0,13,22,13,12,0,3,0,0,0,159
map.AbstractMapEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,30
state.NetworkData,class,2,10,1,0,0,0,7,7,0,2,0,0,0,82
gui.GamePanelEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,32
module.ServerConnectionListenerEvoSuiteTest,class,9,8,1,0,9,9,5,5,2,1,0,1,1,87
map.TileMapEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,31
module.MessageRuleSet,interface,2,1,1,0,0,0,1,1,0,0,0,0,0,18
util.Unpacker,class,8,11,1,0,5,1,2,2,2,0,0,0,1,58
module.AbstractModuleEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,31
state.PartyEvoSuiteTest,class,5,12,1,0,11,45,10,10,1,0,0,0,0,92
gui.PlayerTreeEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,25
util.ObjectManager,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,13
module.Message,class,5,39,1,0,7,268,29,28,0,16,5,6,2,276
state.GameEvent,class,2,14,1,0,0,13,14,14,0,16,12,11,0,147
gui.GUIFrameEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
module.Kernel,class,13,70,1,0,52,153,22,19,0,6,0,0,4,435
gui.DebugPanel,class,3,7,5,0,25,0,4,3,0,4,0,0,1,136
gui.GUIGLStateEvoSuiteTest,class,7,10,1,0,9,21,7,7,1,0,0,0,0,70
gui.gl.HeadUpDisplayEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
gui.gl.XithMapRenderer,class,44,89,2,0,105,532,37,33,1,39,0,0,5,558
