file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/Destroyable.java,com.pmdesigns.jvc.Destroyable,interface,0,1,1,0,0,0,1,0,0,0,0,0,0,4
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/JVCParserTokenManagerEvoSuiteTest.java,com.pmdesigns.jvc.tools.JVCParserTokenManagerEvoSuiteTest,class,8,12,1,0,10,45,10,10,0,0,0,0,0,625
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/JVCBootstrapGenerator.java,com.pmdesigns.jvc.tools.JVCBootstrapGenerator,class,1,33,1,0,27,10,5,4,5,2,2,2,5,103
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/TokenMgrErrorEvoSuiteTest.java,com.pmdesigns.jvc.tools.TokenMgrErrorEvoSuiteTest,class,4,10,1,0,6,36,9,9,0,0,0,0,4,157
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/JVCGeneratorEvoSuiteTest.java,com.pmdesigns.jvc.tools.JVCGeneratorEvoSuiteTest,class,4,5,1,0,5,10,5,5,0,0,0,0,4,65
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/JVCRequestContext.java,com.pmdesigns.jvc.JVCRequestContext,class,11,90,1,0,71,104,37,35,2,9,8,2,0,549
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/BinaryResponseException.java,com.pmdesigns.jvc.BinaryResponseException,class,0,1,4,0,0,0,1,1,0,1,1,0,0,12
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/TokenEvoSuiteTest.java,com.pmdesigns.jvc.tools.TokenEvoSuiteTest,class,4,4,1,0,6,6,4,4,0,0,0,0,2,62
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/ParseExceptionEvoSuiteTest.java,com.pmdesigns.jvc.tools.ParseExceptionEvoSuiteTest,class,6,12,1,0,9,45,10,10,0,0,0,0,7,199
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/JVCParser.java,com.pmdesigns.jvc.tools.JVCParser,class,8,173,1,0,52,232,33,17,2,24,4,1,2,542
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/JVCRequestContextEvoSuiteTest.java,com.pmdesigns.jvc.JVCRequestContextEvoSuiteTest,class,3,2,1,0,3,1,2,2,0,0,0,0,2,31
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/Token.java,com.pmdesigns.jvc.tools.Token,class,1,7,1,0,1,13,7,7,2,9,8,1,1,115
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/JVCParserEvoSuiteTest.java,com.pmdesigns.jvc.tools.JVCParserEvoSuiteTest,class,7,19,1,0,13,120,16,16,0,0,0,0,0,440
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/JVCDispatcherEvoSuiteTest.java,com.pmdesigns.jvc.JVCDispatcherEvoSuiteTest,class,7,6,1,0,8,6,4,4,0,0,0,0,1,70
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/Log.java,com.pmdesigns.jvc.Log,class,0,27,1,0,12,0,9,8,8,2,1,2,1,80
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/HtmlEncoderEvoSuiteTest.java,com.pmdesigns.jvc.tools.HtmlEncoderEvoSuiteTest,class,4,4,1,0,3,6,4,4,0,0,0,0,3,81
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/LogEvoSuiteTest.java,com.pmdesigns.jvc.LogEvoSuiteTest,class,3,8,1,0,12,28,8,8,0,0,0,0,8,88
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/SimpleCharStream.java,com.pmdesigns.jvc.tools.SimpleCharStream,class,2,89,1,0,12,344,36,31,0,16,2,1,12,398
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/JVCBootstrapGeneratorEvoSuiteTest.java,com.pmdesigns.jvc.tools.JVCBootstrapGeneratorEvoSuiteTest,class,8,17,1,0,17,85,13,13,2,1,0,1,9,192
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/tools/Base64CoderEvoSuiteTest.java,com.pmdesigns.jvc.tools.Base64CoderEvoSuiteTest,class,5,21,1,0,10,66,12,12,0,0,0,0,13,267
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/ParseException.java,com.pmdesigns.jvc.tools.ParseException,class,2,30,3,0,10,8,5,3,2,5,3,1,5,173
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/JVCDispatcher.java,com.pmdesigns.jvc.JVCDispatcher,class,10,82,2,0,65,66,13,5,6,9,1,6,30,348
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/JVCParserTokenManager.java,com.pmdesigns.jvc.tools.JVCParserTokenManager,class,6,1371,1,0,60,1460,56,7,0,19,4,8,1,2549
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/HtmlEncoder.java,com.pmdesigns.jvc.tools.HtmlEncoder,class,0,17,1,0,7,0,1,1,1,0,0,0,1,42
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/Base64Coder.java,com.pmdesigns.jvc.tools.Base64Coder,class,2,33,1,0,6,21,7,6,6,2,0,2,4,133
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/evosuite-tests/com/pmdesigns/jvc/NonStandardResponseExceptionEvoSuiteTest.java,com.pmdesigns.jvc.NonStandardResponseExceptionEvoSuiteTest,class,4,1,1,0,2,0,1,1,0,0,0,0,0,22
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/NonStandardResponseException.java,com.pmdesigns.jvc.NonStandardResponseException,class,0,1,4,0,0,0,1,1,0,2,2,0,0,14
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/TokenMgrError.java,com.pmdesigns.jvc.tools.TokenMgrError,class,0,19,3,0,11,15,6,4,2,6,0,5,5,132
/Users/grano/Desktop/ist-generation-scripts/SF110-src/33_javaviewcontrol/src/main/java/com/pmdesigns/jvc/tools/JVCGenerator.java,com.pmdesigns.jvc.tools.JVCGenerator,class,2,66,1,0,39,24,9,4,5,12,4,5,7,221
