class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
corina.graph.Graph,class,7,29,1,0,8,97,19,19,0,10,3,1,0,147
corina.cross.Weiserjahre,class,2,25,2,0,9,22,8,7,0,1,0,0,1,107
corina.prefs.components.FontPopup,class,1,15,9,0,23,6,3,3,0,0,0,0,1,75
corina.util.JLinedLabel,class,1,13,5,0,20,4,4,3,2,1,0,0,1,83
corina.formats.TucsonSimple,class,5,40,1,0,24,28,8,4,0,0,0,0,3,204
corina.cross.RValue,class,4,20,2,1,17,43,10,6,0,6,0,2,8,180
corina.manip.Sum,class,6,36,9,0,21,15,6,2,6,0,0,0,7,239
corina.browser.FileLengthEvoSuiteTest,class,5,8,1,0,5,28,8,8,1,0,0,0,0,70
corina.ui.Alert,class,0,7,1,0,5,6,4,3,4,1,0,1,6,68
corina.util.DocumentListener2EvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
corina.cross.CrossdatePrintingDialog,class,0,0,6,0,0,0,0,0,0,0,0,0,0,8
corina.prefs.components.SpinnerComboBox,class,2,51,6,0,39,92,23,21,0,10,0,0,2,251
corina.CorinaPermission,class,0,1,3,0,0,0,1,1,0,0,0,0,0,10
corina.Element,class,3,50,1,0,19,17,19,19,0,9,7,0,1,319
corina.graph.GraphInfoEvoSuiteTest,class,6,8,1,0,8,15,6,6,1,0,0,0,0,62
corina.gui.ElementsTableModel,class,5,35,6,0,33,13,10,10,0,5,0,0,2,207
corina.editor.EditorSumMenu,class,5,23,7,0,24,7,6,6,0,5,0,0,13,197
corina.browser.SummaryEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,32
corina.graph.ElemColorTableEvoSuiteTest,class,6,4,1,0,3,3,3,3,1,0,0,0,0,39
corina.gui.ErrorLog,class,2,4,6,0,10,1,2,1,1,1,0,1,2,67
corina.browser.BrowserComponent,class,2,4,5,0,5,1,2,2,1,0,0,0,0,30
corina.editor.SlashedIfNullRenderer,class,1,8,6,0,10,0,3,3,0,7,0,5,0,62
corina.graph.GraphPrinter,class,1,6,1,0,0,10,5,4,0,0,0,0,0,53
corina.map.tools.ToolEvoSuiteTest,class,14,9,1,0,15,28,8,8,1,0,0,0,0,109
corina.map.layers.MapLayerEvoSuiteTest,class,8,3,1,0,3,1,2,2,1,0,0,0,1,35
corina.io.SerialSampleIOListener,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,13
corina.map.SiteRenderer,class,3,29,1,0,21,1,2,1,2,10,0,10,4,150
corina.prefs.GeometryEvoSuiteTest,class,5,6,1,0,4,6,4,4,1,0,0,0,2,42
corina.util.NoEmptySelection,class,0,4,1,0,5,1,1,1,1,0,0,0,0,26
corina.index.IndexSet,class,8,8,1,0,7,0,3,3,0,1,1,0,1,93
corina.graph.GraphExportDialogEvoSuiteTest,class,7,5,1,0,2,3,3,3,1,0,0,0,0,47
corina.graph.DropPlotter,class,2,12,1,0,13,13,6,6,0,1,0,0,0,74
corina.util.HooksEvoSuiteTest,class,5,6,1,0,4,10,5,5,1,0,0,0,0,44
corina.map.tools.Tool,class,6,32,1,2,26,231,20,11,0,3,0,0,2,156
corina.map.Raw2PackEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
corina.browser.ITRDBEvoSuiteTest,class,8,8,1,0,9,9,5,5,2,1,0,1,1,91
corina.cross.UnitTests,class,6,13,2,0,14,3,3,3,0,0,0,0,4,86
corina.search.CriterionEvoSuiteTest,class,26,85,1,0,73,2926,77,77,1,0,0,0,10,559
corina.site.CountryEvoSuiteTest,class,4,11,1,0,8,36,9,9,1,0,0,0,8,70
corina.prefs.components.ColorRenderer,class,2,10,5,0,11,0,2,2,0,4,0,1,2,45
corina.gui.Layout,class,1,40,1,0,6,276,24,22,24,0,0,0,47,228
corina.cross.BayesianEvoSuiteTest,class,7,5,1,0,4,6,4,4,1,0,0,0,1,46
