file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/index/IndexEngine.java,org.asphodel.index.IndexEngine,interface,1,2,1,0,0,1,2,2,0,0,0,0,0,18
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/index/IndexeeContent.java,org.asphodel.index.IndexeeContent,class,0,1,1,0,0,0,1,1,0,0,0,0,0,15
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/evosuite-tests/org/asphodel/parser/HtmlContentParserEvoSuiteTest.java,org.asphodel.parser.HtmlContentParserEvoSuiteTest,class,5,8,1,0,6,10,5,5,1,0,0,0,0,65
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/evosuite-tests/org/asphodel/search/FtrSearchResultEvoSuiteTest.java,org.asphodel.search.FtrSearchResultEvoSuiteTest,class,7,5,1,0,7,10,5,5,1,0,0,0,0,49
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/DefaultRepositoryManager.java,org.asphodel.DefaultRepositoryManager,class,8,46,1,0,23,25,14,11,0,3,0,1,2,155
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/FtrException.java,org.asphodel.FtrException,class,0,4,3,0,0,6,4,4,0,0,0,0,0,64
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/search/FtrSearchResult.java,org.asphodel.search.FtrSearchResult,class,1,7,1,0,2,2,5,5,0,2,0,0,0,34
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/search/SearchEngine.java,org.asphodel.search.SearchEngine,interface,2,2,1,0,0,1,2,2,0,0,0,0,0,23
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/test/java/org/asphodel/parser/JerichoParserTest.java,org.asphodel.parser.JerichoParserTest,class,2,5,1,0,10,6,4,2,1,0,0,0,0,47
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/AsphodelServiceLocator.java,org.asphodel.AsphodelServiceLocator,class,9,4,1,0,0,6,4,4,4,0,0,0,0,36
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/parser/StringContentParser.java,org.asphodel.parser.StringContentParser,interface,0,1,1,0,0,0,1,1,0,0,0,0,0,16
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/FtrConstants.java,org.asphodel.FtrConstants,class,0,0,1,0,0,0,0,0,0,3,3,3,0,19
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/evosuite-tests/org/asphodel/search/DefaultSearchEngineEvoSuiteTest.java,org.asphodel.search.DefaultSearchEngineEvoSuiteTest,class,6,5,1,0,3,3,3,3,1,0,0,0,0,40
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/test/java/org/asphodel/index/DefaultIndexEngineTest.java,org.asphodel.index.DefaultIndexEngineTest,class,5,4,1,0,8,1,2,2,0,0,0,0,3,39
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/parser/ContentParserException.java,org.asphodel.parser.ContentParserException,class,0,4,3,0,0,6,4,4,0,0,0,0,0,62
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/evosuite-tests/org/asphodel/index/PlainTextStringContentEvoSuiteTest.java,org.asphodel.index.PlainTextStringContentEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,24
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/test/java/org/asphodel/search/DefaultSearchEngineTest.java,org.asphodel.search.DefaultSearchEngineTest,class,8,5,1,0,12,0,1,1,0,1,0,1,2,44
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/index/InputStreamContent.java,org.asphodel.index.InputStreamContent,class,1,2,2,0,0,1,2,2,0,1,0,0,0,23
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/src/main/java/org/asphodel/index/HtmlStringContent.java,org.asphodel.index.HtmlStringContent,class,3,2,2,0,1,0,2,2,0,1,0,0,0,24
/Users/grano/Desktop/ist-generation-scripts/SF110-src/42_asphodel/evosuite-tests/org/asphodel/index/StreamContentEvoSuiteTest.java,org.asphodel.index.StreamContentEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
