class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
nu.staldal.xtree.TestSequentialTreeBuilder,class,4,7,2,0,9,3,2,2,0,0,0,0,1,33
nu.staldal.lagoon.producer.FileSource,class,3,3,3,0,4,3,3,3,0,0,0,0,0,61
nu.staldal.xtree.ProcessingInstruction,class,2,4,2,0,1,0,4,4,0,3,0,1,0,80
nu.staldal.lagoon.MessageDialogEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
nu.staldal.xtree.SequentialTreeBuilder,class,13,59,1,0,42,59,18,18,1,10,1,2,1,288
nu.staldal.lagoon.util.LagoonUtil,class,0,1,1,0,0,0,1,0,0,0,0,0,0,50
nu.staldal.xodus.XMLSerializer,class,8,199,2,0,38,379,30,24,0,16,0,0,0,892
nu.staldal.lagoon.producer.LSSIHandler,class,10,49,4,0,35,0,15,14,0,7,0,1,4,233
nu.staldal.lagoon.core.ByteStreamProducer,interface,2,1,1,0,0,0,1,1,0,0,0,0,0,56
nu.staldal.lagoon.producer.MyInputStreamEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
nu.staldal.lagoon.core.PartEntry,class,4,3,2,0,0,0,3,2,0,1,0,0,0,74
nu.staldal.lagoon.BuildSitemap,class,4,17,1,0,23,0,2,2,2,2,0,2,4,136
nu.staldal.lagoon.producer.XMLParseEvoSuiteTest,class,5,6,1,0,6,6,4,4,1,0,0,0,0,45
nu.staldal.lagoon.core.AuthenticationMissingException,class,1,1,4,0,0,0,1,1,0,0,0,0,0,49
nu.staldal.lagoon.core.SourceManagerProvider,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,47
nu.staldal.ftp.FTPException,class,0,1,4,0,0,0,1,1,0,0,0,0,0,47
nu.staldal.lagoon.filestorage.TestFTPFileStorage,class,3,1,1,0,11,0,1,1,1,0,0,0,1,26
nu.staldal.xtree.Node,class,3,27,1,2,5,86,17,16,0,6,1,1,0,237
