class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
net.sf.lavalamp.LavaLoggerEvoSuiteTest,class,5,7,1,0,10,15,6,6,1,0,0,0,1,54
net.sf.lavalamp.device.CrashTest,class,2,1,1,0,1,0,1,1,0,0,0,0,0,8
net.sf.lavalamp.application.WebRun,class,17,12,2,0,24,0,6,3,0,5,0,0,0,100
net.sf.lavalamp.application.Application,interface,4,4,1,0,0,6,4,0,0,0,0,0,0,10
net.sf.lavalamp.site.DummyRestGetter,class,3,4,2,0,1,1,2,2,0,0,0,0,0,16
net.sf.lavalamp.device.DevicePropertiesTest,class,7,8,1,0,9,0,8,8,0,1,0,0,0,64
net.sf.lavalamp.site.BuildsCheckerTest,class,10,5,1,0,15,0,5,5,0,5,0,0,0,60
net.sf.lavalamp.Pause,class,0,1,1,0,1,0,1,1,0,0,0,0,1,6
net.sf.lavalamp.site.LoginRequiredException,class,0,2,3,0,0,1,2,2,0,1,0,1,0,10
net.sf.lavalamp.device.BlinkTest,class,6,3,1,0,12,1,3,3,0,3,0,0,0,40
net.sf.lavalamp.device.Device,interface,4,9,1,0,0,36,9,0,0,0,0,0,0,28
net.sf.lavalamp.device.DeviceFactoryTest,class,5,1,1,0,5,0,1,1,0,3,0,0,0,18
net.sf.lavalamp.application.BuildStatusServletTest,class,7,3,1,0,10,0,3,3,0,4,0,0,0,53
net.sf.lavalamp.site.AuthBuildSite,class,5,4,2,0,6,0,4,4,0,2,0,2,1,27
net.sf.lavalamp.factories.DeviceBuildsFactoryTest,class,8,3,1,0,12,0,3,3,0,4,0,0,0,44
net.sf.lavalamp.site.MissingBuildException,class,0,2,3,0,0,1,2,2,0,1,0,1,0,10
net.sf.lavalamp.application.DefaultApplication,class,3,3,1,1,2,1,3,3,0,3,0,1,1,29
net.sf.lavalamp.site.Getter,interface,2,3,1,0,0,3,3,0,0,0,0,0,0,9
net.sf.lavalamp.site.BuildEvoSuiteTest,class,7,7,1,0,8,21,7,7,1,0,0,0,0,64
net.sf.lavalamp.site.impl.HudsonTest,class,12,8,1,0,29,0,8,8,0,4,0,0,0,102
net.sf.lavalamp.site.BuildPropertiesTest,class,4,1,1,0,3,0,1,1,0,1,0,0,0,15
net.sf.lavalamp.site.Console,class,1,2,1,0,3,1,2,2,0,0,0,0,2,9
net.sf.lavalamp.site.SiteFactoryEvoSuiteTest,class,6,3,1,0,2,1,2,2,1,0,0,0,0,29
net.sf.lavalamp.site.BuildCheckerEvoSuiteTest,class,9,5,1,0,3,3,3,3,1,0,0,0,0,47
net.sf.lavalamp.site.AbstractGetter,class,2,1,1,2,0,0,1,1,0,1,0,0,0,9
net.sf.lavalamp.site.DummyRemoteGetterEvoSuiteTest,class,6,4,1,0,3,6,4,4,1,0,0,0,0,38
net.sf.lavalamp.application.EmbeddedWebRun,class,5,3,2,0,6,0,1,1,0,2,0,0,1,22
net.sf.lavalamp.site.SitePropertiesEvoSuiteTest,class,5,8,1,0,9,28,8,8,1,0,0,0,0,65
net.sf.lavalamp.device.TimeOfDayTest,class,2,9,1,0,7,36,9,9,0,0,0,0,0,56
net.sf.lavalamp.application.ApplicationPropertiesWebTest,class,6,4,1,0,9,0,4,4,0,2,0,0,0,37
net.sf.lavalamp.site.DummyRemoteGetter,class,2,4,2,0,1,1,2,2,0,0,0,0,0,16
net.sf.lavalamp.site.LoginFailedException,class,0,3,3,0,0,3,3,3,0,1,0,1,0,13
net.sf.lavalamp.properties.MissingPropertyExceptionTest,class,2,2,1,0,4,1,2,2,0,0,0,0,0,17
net.sf.lavalamp.site.Build,class,1,9,1,0,1,3,7,7,0,4,0,1,1,38
net.sf.lavalamp.application.DefaultApplicationEvoSuiteTest,class,7,5,1,0,6,6,4,4,1,0,0,0,0,40
net.sf.lavalamp.device.PeriodTest,class,4,5,1,0,5,0,5,5,0,1,0,0,1,34
net.sf.lavalamp.site.SiteProperties,class,0,7,1,0,0,3,7,7,0,4,0,1,0,30
net.sf.lavalamp.site.DummyRemoteGetterTest,class,4,3,1,0,4,0,3,3,0,1,0,0,0,20
net.sf.lavalamp.site.DummyRestGetterEvoSuiteTest,class,6,5,1,0,5,6,4,4,1,0,0,0,0,42
net.sf.lavalamp.application.UniversalRunnerEvoSuiteTest,class,9,4,1,0,2,3,3,3,1,0,0,0,0,43
net.sf.lavalamp.properties.Off,class,0,5,1,0,0,0,5,5,0,2,0,0,0,21
net.sf.lavalamp.properties.OffEvoSuiteTest,class,5,6,1,0,7,15,6,6,1,0,0,0,0,53
net.sf.lavalamp.device.OnError,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,9
net.sf.lavalamp.device.impl.TellStickLibrary,interface,1,2,1,0,0,1,2,0,0,0,0,0,0,6
net.sf.lavalamp.device.DummyDevice,class,1,2,2,0,1,1,2,2,0,1,0,1,1,12
