file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/Parameter.java,org.templateit.Parameter,class,0,8,1,0,0,20,8,8,0,4,0,0,0,55
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/TemplateSheet.java,org.templateit.TemplateSheet,class,7,25,1,0,19,63,14,13,0,7,0,0,1,125
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/StaticTemplate.java,org.templateit.StaticTemplate,class,8,50,2,0,35,224,24,19,0,5,0,0,0,244
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/TemplateWorkbook.java,org.templateit.TemplateWorkbook,class,2,5,1,0,4,1,3,3,0,1,0,0,0,54
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/TemplateIt.java,org.templateit.TemplateIt,class,5,7,1,0,8,1,2,1,2,1,0,1,3,70
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/TemplateProcessor.java,org.templateit.TemplateProcessor,class,26,133,1,0,174,299,31,8,5,10,0,1,15,694
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/OpMatcher.java,org.templateit.OpMatcher,class,1,35,1,0,9,4,5,5,5,10,0,10,8,145
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/Region.java,org.templateit.Region,class,2,9,1,1,2,0,9,9,0,2,0,0,0,72
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/Template.java,org.templateit.Template,class,6,35,1,0,27,92,16,15,0,6,0,1,3,142
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/DynamicTemplate.java,org.templateit.DynamicTemplate,class,6,16,2,0,15,0,6,6,0,3,0,0,1,87
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/util/FormulaUtil.java,org.templateit.util.FormulaUtil,class,5,24,1,0,22,3,3,1,3,0,0,0,2,65
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/RegionEvoSuiteTest.java,org.templateit.RegionEvoSuiteTest,class,6,4,1,0,5,6,4,4,1,0,0,0,0,37
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/test/java/org/templateit/WorkbookParserTest.java,org.templateit.WorkbookParserTest,class,3,1,2,0,3,0,1,1,0,0,0,0,0,33
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/Poi2ItextUtilEvoSuiteTest.java,org.templateit.Poi2ItextUtilEvoSuiteTest,class,12,13,1,0,20,36,9,9,1,0,0,0,1,114
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/Poi2ItextUtil.java,org.templateit.Poi2ItextUtil,class,15,52,1,0,38,25,11,10,1,2,0,1,2,163
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/DynamicTemplateEvoSuiteTest.java,org.templateit.DynamicTemplateEvoSuiteTest,class,7,5,1,0,6,10,5,5,1,0,0,0,0,58
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/WorkbookParser.java,org.templateit.WorkbookParser,class,15,48,1,0,50,2,5,3,0,4,0,1,6,179
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/OpMatcherEvoSuiteTest.java,org.templateit.OpMatcherEvoSuiteTest,class,5,18,1,0,8,136,17,17,1,0,0,0,15,103
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/TemplateProcessorEvoSuiteTest.java,org.templateit.TemplateProcessorEvoSuiteTest,class,6,7,1,0,4,10,5,5,1,0,0,0,0,59
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/TemplateItEvoSuiteTest.java,org.templateit.TemplateItEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/util/FormulaUtilEvoSuiteTest.java,org.templateit.util.FormulaUtilEvoSuiteTest,class,6,6,1,0,3,15,6,6,1,0,0,0,4,49
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/PdfWriter.java,org.templateit.PdfWriter,class,31,66,1,0,73,8,17,6,3,11,0,1,4,347
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/ParameterEvoSuiteTest.java,org.templateit.ParameterEvoSuiteTest,class,5,9,1,0,9,36,9,9,1,0,0,0,0,75
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/TemplateEvoSuiteTest.java,org.templateit.TemplateEvoSuiteTest,class,8,10,1,0,8,36,9,9,1,0,0,0,0,91
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/StaticTemplateEvoSuiteTest.java,org.templateit.StaticTemplateEvoSuiteTest,class,7,10,1,0,13,21,7,7,0,0,0,0,0,115
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/test/java/org/templateit/OpMatcherTest.java,org.templateit.OpMatcherTest,class,3,8,2,0,6,1,2,2,0,0,0,0,2,80
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/util/DelimitedFileReaderEvoSuiteTest.java,org.templateit.util.DelimitedFileReaderEvoSuiteTest,class,5,3,1,0,1,1,2,2,1,0,0,0,0,31
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/TemplateWorkbookEvoSuiteTest.java,org.templateit.TemplateWorkbookEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/MergeRegionEvoSuiteTest.java,org.templateit.MergeRegionEvoSuiteTest,class,6,2,1,0,0,1,2,2,1,0,0,0,0,22
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/NamedStyleEvoSuiteTest.java,org.templateit.NamedStyleEvoSuiteTest,class,5,6,1,0,8,15,6,6,1,0,0,0,0,53
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/MergeRegion.java,org.templateit.MergeRegion,class,2,1,2,0,0,0,1,1,0,0,0,0,0,23
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/evosuite-tests/org/templateit/ReferenceEvoSuiteTest.java,org.templateit.ReferenceEvoSuiteTest,class,5,10,1,0,8,45,10,10,1,0,0,0,0,84
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/NamedStyle.java,org.templateit.NamedStyle,class,0,8,1,0,2,16,8,8,0,4,0,0,0,56
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/apache/poi/hssf/usermodel/HSSFDataFormat.java,org.apache.poi.hssf.usermodel.HSSFDataFormat,class,2,31,1,0,22,0,8,7,5,4,0,1,1,258
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/util/DelimitedFileReader.java,org.templateit.util.DelimitedFileReader,class,0,14,1,0,3,4,5,5,0,4,0,0,0,85
/Users/grano/Desktop/ist-generation-scripts/SF110-src/5_templateit/src/main/java/org/templateit/Reference.java,org.templateit.Reference,class,1,16,1,0,1,0,6,6,0,3,1,1,0,73
