class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
org.dom4j.NodeFilter,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,65
org.dom4j.datatype.ManualSchemaPrefixTest,class,4,1,4,0,2,0,1,0,0,0,0,0,0,63
org.dom4j.ParseTextTest,class,4,2,2,0,8,1,2,1,0,1,0,0,1,77
org.dom4j.ParentTest,class,6,10,2,0,16,10,5,2,0,0,0,0,0,102
org.dom4j.util.SimpleSingletonEvoSuiteTest,class,5,4,1,0,4,6,4,4,1,0,0,0,0,33
org.dom4j.Branch,interface,6,27,1,0,0,351,27,0,0,0,0,0,0,292
org.dom4j.io.DocumentInputSource,class,5,9,2,0,5,16,6,6,0,1,0,0,0,130
org.dom4j.xpath.AttributeTest,class,4,4,2,0,12,1,2,1,0,1,0,1,1,92
org.dom4j.IllegalAddException,class,3,3,5,0,3,3,3,3,0,0,0,0,0,66
org.dom4j.NodeTypeNameTest,class,13,30,2,0,14,28,8,5,0,0,0,0,0,125
org.dom4j.util.UserDataAttribute,class,2,4,5,0,0,4,4,4,0,1,0,0,0,75
org.dom4j.io.DocumentSourceTest,class,4,1,2,0,8,0,1,1,0,0,0,0,2,74
org.dom4j.dtd.ExternalEntityDecl,class,1,17,1,0,4,4,9,9,0,3,0,0,0,146
org.dom4j.swing.XMLTableModelEvoSuiteTest,class,7,14,1,0,18,45,10,10,1,0,0,0,0,110
org.dom4j.dtd.ElementDeclEvoSuiteTest,class,5,7,1,0,8,21,7,7,1,0,0,0,0,53
org.dom4j.tree.BackedListEvoSuiteTest,class,7,13,1,0,9,21,7,7,0,0,0,0,0,138
org.dom4j.dom.DOMNodeHelper,class,17,166,1,0,46,1225,48,47,45,1,1,1,21,471
org.dom4j.xpath.DefaultNamespaceContext,class,6,15,1,0,5,0,3,3,1,1,0,0,0,88
org.dom4j.Document,interface,5,12,1,0,0,66,12,0,0,0,0,0,0,156
org.dom4j.AttributeDetachTest,class,5,2,2,0,13,0,1,1,0,0,0,0,0,80
org.dom4j.tree.FlyweightAttribute,class,3,6,3,1,3,0,6,6,0,2,0,0,0,105
org.dom4j.Element,interface,9,67,1,0,0,2211,67,0,0,0,0,0,0,688
org.dom4j.bean.BeanDocumentFactory,class,9,14,2,0,8,21,7,4,1,1,0,1,1,116
org.dom4j.swing.XMLTableModel,class,4,20,2,0,16,13,15,14,0,3,0,0,2,173
org.dom4j.tree.AbstractElement,class,28,349,3,0,173,6555,115,99,0,3,0,3,11,1158
org.dom4j.bean.BeanAttributeList,class,5,28,3,0,14,63,18,17,0,3,0,0,1,156
org.dom4j.ContentTest,class,8,12,2,0,29,24,9,8,0,1,0,0,1,210
org.dom4j.InvalidXPathException,class,0,2,5,0,0,1,2,2,0,0,0,0,0,59
org.dom4j.io.DOMReaderEvoSuiteTest,class,25,21,1,0,22,120,16,16,1,0,0,0,2,189
