file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/evosuite-tests/osa/ora/server/client/threads/SendChatThreadEvoSuiteTest.java,osa.ora.server.client.threads.SendChatThreadEvoSuiteTest,class,8,2,1,0,2,1,2,2,1,0,0,0,0,26
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/src/main/java/osa/ora/server/admin/ui/DefaultPassPanel.java,osa.ora.server.admin.ui.DefaultPassPanel,class,2,14,5,0,21,17,5,2,0,6,0,0,5,97
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/src/main/java/osa/ora/server/admin/ui/AddRoomPanel.java,osa.ora.server.admin.ui.AddRoomPanel,class,6,37,5,0,55,86,10,2,0,15,0,0,8,215
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/src/main/java/osa/ora/server/client/ui/FontPanel.java,osa.ora.server.client.ui.FontPanel,class,2,26,5,0,45,137,10,1,0,17,0,0,7,201
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/evosuite-tests/osa/ora/server/client/ui/utils/FontChooserDialogEvoSuiteTest.java,osa.ora.server.client.ui.utils.FontChooserDialogEvoSuiteTest,class,6,5,1,0,3,3,3,3,1,0,0,0,0,39
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/evosuite-tests/osa/ora/server/client/ui/utils/FontTrackerEvoSuiteTest.java,osa.ora.server.client.ui.utils.FontTrackerEvoSuiteTest,class,6,4,1,0,4,3,3,3,1,0,0,0,0,37
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/evosuite-tests/osa/ora/server/client/ui/LoginPanelEvoSuiteTest.java,osa.ora.server.client.ui.LoginPanelEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,27
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/src/main/java/osa/ora/server/beans/ResultBean.java,osa.ora.server.beans.ResultBean,class,0,8,1,0,1,14,8,8,0,3,0,0,0,45
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/src/main/java/osa/ora/server/client/threads/SendFileThread.java,osa.ora.server.client.threads.SendFileThread,class,4,16,2,0,24,0,2,2,0,4,0,0,3,81
/Users/grano/Desktop/ist-generation-scripts/SF110-src/73_fim1/src/main/java/osa/ora/server/beans/User.java,osa.ora.server.beans.User,class,0,23,1,0,3,191,23,23,0,10,0,0,4,128
