file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/example/client/ChatExampleClient.java,ioproject.example.client.ChatExampleClient,class,9,16,1,0,28,10,5,5,1,0,0,0,5,164
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/server/network/NetworkService.java,ioproject.server.network.NetworkService,class,9,11,1,0,4,0,5,4,0,3,0,0,0,94
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/client/network/ServerHandlerAdapterEvoSuiteTest.java,ioproject.client.network.ServerHandlerAdapterEvoSuiteTest,class,11,10,1,0,7,15,6,6,1,0,0,0,0,75
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/client/network/ServerToMessageHandlerAdapter.java,ioproject.client.network.ServerToMessageHandlerAdapter,class,4,5,1,0,4,0,5,5,0,2,0,0,0,58
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/server/network/ClientGroupHandlerAdapterEvoSuiteTest.java,ioproject.server.network.ClientGroupHandlerAdapterEvoSuiteTest,class,16,11,1,0,6,15,6,6,1,0,0,0,0,85
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/client/network/ClientSuite.java,ioproject.client.network.ClientSuite,class,5,0,1,0,0,0,0,0,0,0,0,0,0,26
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/common/network/MessageHandler.java,ioproject.common.network.MessageHandler,interface,1,2,1,0,0,1,2,2,0,0,0,0,0,33
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/server/network/Client.java,ioproject.server.network.Client,class,2,5,1,0,4,0,5,4,0,1,0,0,0,57
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/server/network/NetworkSuite.java,ioproject.server.network.NetworkSuite,class,8,0,1,0,0,0,0,0,0,0,0,0,0,27
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/example/common/ChatMessageEvoSuiteTest.java,ioproject.example.common.ChatMessageEvoSuiteTest,class,5,3,1,0,1,3,3,3,1,0,0,0,0,27
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/server/network/ClientGroupHandlerAdapterTest.java,ioproject.server.network.ClientGroupHandlerAdapterTest,class,7,6,1,0,17,0,6,6,0,5,0,0,0,93
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/client/network/Server.java,ioproject.client.network.Server,class,11,12,1,0,7,0,5,4,0,3,0,0,0,103
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/server/network/ClientEvoSuiteTest.java,ioproject.server.network.ClientEvoSuiteTest,class,6,9,1,0,5,10,5,5,1,0,0,0,0,58
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/client/network/ServerHandler.java,ioproject.client.network.ServerHandler,interface,3,4,1,0,0,6,4,4,0,0,0,0,0,48
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/server/network/ClientGroupHandlerAdapter.java,ioproject.server.network.ClientGroupHandlerAdapter,class,4,7,2,0,7,0,7,5,0,1,0,0,0,71
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/server/network/ClientToMessageHandlerAdapterEvoSuiteTest.java,ioproject.server.network.ClientToMessageHandlerAdapterEvoSuiteTest,class,12,11,1,0,6,15,6,6,1,0,0,0,0,78
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/server/network/GlobalClientGroupEvoSuiteTest.java,ioproject.server.network.GlobalClientGroupEvoSuiteTest,class,7,7,1,0,7,10,5,5,1,0,0,0,0,61
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/client/network/ServerTest.java,ioproject.client.network.ServerTest,class,17,14,1,0,22,0,14,12,0,8,0,0,0,176
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/server/network/ClientGroupEvoSuiteTest.java,ioproject.server.network.ClientGroupEvoSuiteTest,class,25,13,1,0,14,55,11,11,1,0,0,0,0,175
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/client/network/ServerToMessageHandlerAdapterEvoSuiteTest.java,ioproject.client.network.ServerToMessageHandlerAdapterEvoSuiteTest,class,12,9,1,0,5,10,5,5,1,0,0,0,0,88
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/common/network/AlwaysFailMessageHandlerTest.java,ioproject.common.network.AlwaysFailMessageHandlerTest,class,3,3,1,0,2,0,3,3,0,1,0,0,0,43
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/server/network/NetworkServiceEvoSuiteTest.java,ioproject.server.network.NetworkServiceEvoSuiteTest,class,11,16,1,0,14,43,9,9,2,1,0,1,1,122
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/server/network/ClientHandler.java,ioproject.server.network.ClientHandler,interface,3,5,1,0,0,10,5,5,0,0,0,0,0,54
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/TestSuite.java,ioproject.TestSuite,class,6,0,1,0,0,0,0,0,0,0,0,0,0,29
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/common/network/Node.java,ioproject.common.network.Node,interface,0,2,1,0,0,1,2,2,0,0,0,0,0,29
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/client/network/ServerEvoSuiteTest.java,ioproject.client.network.ServerEvoSuiteTest,class,7,7,1,0,4,6,4,4,1,0,0,0,0,61
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/client/network/StateMultiplexer.java,ioproject.client.network.StateMultiplexer,class,3,17,1,0,7,0,7,7,0,2,0,0,0,107
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/example/common/ChatMessage.java,ioproject.example.common.ChatMessage,class,0,2,1,0,0,1,2,2,0,1,1,0,0,33
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/server/network/GlobalClientGroup.java,ioproject.server.network.GlobalClientGroup,class,2,5,2,0,2,10,5,2,0,0,0,0,0,52
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/server/network/ClientTest.java,ioproject.server.network.ClientTest,class,5,5,1,0,15,0,5,5,0,5,0,0,0,87
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/client/network/ServerHandlerAdapterTest.java,ioproject.client.network.ServerHandlerAdapterTest,class,7,5,1,0,14,0,5,5,0,5,0,0,0,82
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/example/server/ChatExampleServer.java,ioproject.example.server.ChatExampleServer,class,7,13,1,0,15,20,8,8,1,2,0,0,1,131
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/server/ServerSuite.java,ioproject.server.ServerSuite,class,4,0,1,0,0,0,0,0,0,0,0,0,0,27
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/server/network/NetworkServiceTest.java,ioproject.server.network.NetworkServiceTest,class,13,15,1,0,18,0,15,13,0,4,0,0,0,167
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/test/java/ioproject/server/network/GlobalClientGroupTest.java,ioproject.server.network.GlobalClientGroupTest,class,4,5,1,0,8,0,5,5,0,1,0,0,0,66
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/src/main/java/ioproject/server/network/ClientToMessageHandlerAdapter.java,ioproject.server.network.ClientToMessageHandlerAdapter,class,4,6,1,0,5,0,6,6,0,2,0,0,0,64
/Users/grano/Desktop/ist-generation-scripts/SF110-src/77_io-project/evosuite-tests/ioproject/common/network/AlwaysFailMessageHandlerEvoSuiteTest.java,ioproject.common.network.AlwaysFailMessageHandlerEvoSuiteTest,class,7,5,1,0,3,3,3,3,1,0,0,0,0,47
