class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
de.outstare.fortbattleplayer.statistics.DataAggregationTypeEvoSuiteTest,class,5,5,1,0,3,10,5,5,1,0,0,0,0,50
de.outstare.fortbattleplayer.gui.battlefield.AnimTestEvoSuiteTest,class,5,2,1,0,4,1,2,2,1,0,0,0,0,24
de.outstare.fortbattleplayer.statistics.CombatantStatisticTest,class,4,108,1,0,31,0,47,47,0,2,0,1,0,1061
de.outstare.fortbattleplayer.player.BattleplanEvoSuiteTest,class,10,13,1,0,9,45,10,10,1,0,0,0,0,128
de.outstare.fortbattleplayer.player.actions.TargetAction,class,3,3,2,0,1,0,3,3,0,1,0,0,0,50
de.outstare.fortbattleplayer.model.CombatantSideEvoSuiteTest,class,5,3,1,0,6,3,3,3,1,0,0,0,0,31
de.outstare.fortbattleplayer.model.Battlefield,interface,1,3,1,0,0,3,3,0,0,0,0,0,0,46
de.outstare.fortbattleplayer.logging.RestoreLogLevels,class,1,4,2,0,3,0,2,1,0,1,0,0,0,30
de.outstare.fortbattleplayer.statistics.AllCombatantSidesCounterEvoSuiteTest,class,7,11,1,0,8,36,9,9,1,0,0,0,0,75
de.outstare.fortbattleplayer.statistics.CombatantStatisticEvoSuiteTest,class,7,32,1,0,32,496,32,32,1,0,0,0,0,253
de.outstare.fortbattleplayer.player.PlayerConfiguration,class,3,17,1,0,9,61,14,11,0,9,4,1,0,173
de.outstare.fortbattleplayer.model.impl.SimpleSectorEvoSuiteTest,class,13,23,1,0,21,231,22,22,1,0,0,0,0,245
de.outstare.fortbattleplayer.model.impl.SimpleBattleFieldEvoSuiteTest,class,6,8,1,0,7,10,5,5,1,0,0,0,0,67
de.outstare.fortbattleplayer.gui.statistics.StatisticsPanelEvoSuiteTest,class,9,2,1,0,2,1,2,2,1,0,0,0,0,30
de.outstare.fortbattleplayer.logging.BackupLogLevels,class,1,2,2,0,3,0,2,1,0,1,0,0,0,30
de.outstare.fortbattleplayer.gui.statistics.ListPopup,class,1,5,1,3,12,4,4,2,0,4,0,0,2,85
de.outstare.fortbattleplayer.gui.StatusPanel,class,5,47,6,0,28,179,21,11,0,11,0,3,12,347
de.outstare.fortbattleplayer.Configuration,class,0,0,1,0,0,0,0,0,0,5,5,5,0,46
de.outstare.fortbattleplayer.parser.LogToText,class,5,32,1,0,40,26,8,2,1,2,0,2,6,193
de.outstare.fortbattleplayer.player.BattleplayerEvoSuiteTest,class,7,3,1,0,1,1,2,2,1,0,0,0,0,35
de.outstare.fortbattleplayer.gui.CopyAction,class,0,2,1,0,1,0,2,1,0,1,0,0,0,45
de.outstare.fortbattleplayer.model.Area,interface,4,8,1,0,0,28,8,0,0,0,0,0,0,71
de.outstare.fortbattleplayer.gui.PasteActionEvoSuiteTest,class,5,2,1,0,3,1,2,2,1,0,0,0,0,28
de.outstare.fortbattleplayer.model.impl.SimpleWeapon,class,4,24,1,0,7,58,13,9,0,5,0,0,0,142
de.outstare.fortbattleplayer.statistics.Statistic,interface,0,2,1,0,0,1,2,0,0,0,0,0,0,16
de.outstare.fortbattleplayer.model.SectorBonusEvoSuiteTest,class,5,8,1,0,6,28,8,8,1,0,0,0,0,69
de.outstare.fortbattleplayer.player.CombatantEventDispatcher,class,3,21,1,0,11,0,11,11,0,1,0,0,0,129
de.outstare.fortbattleplayer.gui.battlefield.MoveTargetEvoSuiteTest,class,6,2,1,0,2,1,2,2,1,0,0,0,0,23
de.outstare.fortbattleplayer.statistics.DataSetEvoSuiteTest,class,7,7,1,0,7,15,6,6,1,0,0,0,0,71
de.outstare.fortbattleplayer.model.CombatantState,class,2,14,1,0,6,43,14,14,0,4,0,0,0,162
de.outstare.fortbattleplayer.player.actions.CombatantAction,class,2,3,1,2,2,0,3,3,0,1,0,0,0,52
de.outstare.fortbattleplayer.gui.MessagesEvoSuiteTest,class,4,3,1,0,2,1,2,2,1,0,0,0,1,26
de.outstare.fortbattleplayer.model.Combatant,interface,8,21,1,0,0,210,21,0,0,0,0,0,0,150
de.outstare.fortbattleplayer.statistics.DynamicStatistics,interface,6,25,1,0,0,300,25,5,0,0,0,0,0,175
de.outstare.fortbattleplayer.gui.battlefield.Test,class,10,8,1,0,15,1,1,1,1,0,0,0,5,103
de.outstare.fortbattleplayer.gui.battlefield.BattlefieldDrawingEvoSuiteTest,class,11,2,1,0,6,1,2,2,1,0,0,0,0,37
de.outstare.fortbattleplayer.player.PlayerConfigurationEvoSuiteTest,class,6,11,1,0,14,28,8,8,1,0,0,0,0,109
