file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/src/test/java/wheel/testing/WheelTestCase.java,wheel.testing.WheelTestCase,class,12,49,2,0,56,18,12,0,0,6,0,1,2,248
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/src/test/java/functional/assets/ComponentContainer2.java,functional.assets.ComponentContainer2,class,3,1,5,0,1,0,1,1,0,0,0,0,0,28
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/evosuite-tests/wheel/components/ComponentCreatorEvoSuiteTest.java,wheel.components.ComponentCreatorEvoSuiteTest,class,33,178,1,0,158,10731,147,147,1,0,0,0,0,1479
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/evosuite-tests/wheel/AbstractEngineEvoSuiteTest.java,wheel.AbstractEngineEvoSuiteTest,class,9,6,1,0,7,10,5,5,1,0,0,0,3,46
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/src/main/java/wheel/enhance/WheelFieldVisitor.java,wheel.enhance.WheelFieldVisitor,class,6,15,1,0,7,0,5,5,0,7,0,0,0,78
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/src/test/java/functional/assets/ReusableComponent2.java,functional.assets.ReusableComponent2,class,1,2,4,0,3,1,2,2,0,0,0,0,0,34
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/evosuite-tests/wheel/util/StringSelectModelEvoSuiteTest.java,wheel.util.StringSelectModelEvoSuiteTest,class,5,10,1,0,11,28,8,8,1,0,0,0,0,74
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/src/main/java/wheel/util/DynamicSelectModel.java,wheel.util.DynamicSelectModel,class,6,41,1,0,12,73,19,19,0,8,0,0,0,151
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/evosuite-tests/wheel/components/CheckboxEvoSuiteTest.java,wheel.components.CheckboxEvoSuiteTest,class,8,8,1,0,7,15,6,6,1,0,0,0,0,70
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/src/main/java/wheel/components/StandaloneComponentConfiguration.java,wheel.components.StandaloneComponentConfiguration,class,7,47,2,0,18,0,23,23,0,1,0,0,0,261
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/evosuite-tests/wheel/asm/ByteVectorEvoSuiteTest.java,wheel.asm.ByteVectorEvoSuiteTest,class,6,14,1,0,11,78,13,13,1,0,0,0,0,109
/Users/grano/Desktop/ist-generation-scripts/SF110-src/80_wheelwebtool/src/test/java/functional/errorhandling/ErrorGeneratingPage2.java,functional.errorhandling.ErrorGeneratingPage2,class,1,2,5,0,2,1,2,2,0,0,0,0,0,11
