file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/evosuite-tests/jigl/image/levelSetTool/LevelSetSmoothEvoSuiteTest.java,jigl.image.levelSetTool.LevelSetSmoothEvoSuiteTest,class,8,12,1,0,13,36,9,9,1,0,0,0,0,89
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/evosuite-tests/jigl/image/warp/MapperEvoSuiteTest.java,jigl.image.warp.MapperEvoSuiteTest,class,23,9,1,0,10,28,8,8,1,0,0,0,0,106
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/image/utils/DifferentialGeometry.java,jigl.image.utils.DifferentialGeometry,class,3,90,1,0,14,0,18,15,0,9,0,0,4,486
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/gui/CloseableMainFrame.java,jigl.gui.CloseableMainFrame,class,1,5,6,0,4,3,3,3,0,1,0,1,1,48
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/evosuite-tests/jigl/image/warp/WarpedRealGrayImageEvoSuiteTest.java,jigl.image.warp.WarpedRealGrayImageEvoSuiteTest,class,8,3,1,0,2,3,3,3,1,0,0,0,0,34
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/evosuite-tests/jigl/image/ops/levelOps/WindowEvoSuiteTest.java,jigl.image.ops.levelOps.WindowEvoSuiteTest,class,19,16,1,0,24,91,14,14,1,0,0,0,0,163
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/image/warp/AffineTransform.java,jigl.image.warp.AffineTransform,class,5,14,1,0,6,3,6,6,0,3,0,0,2,103
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/math/Vector.java,jigl.math.Vector,class,2,63,1,0,8,0,24,24,0,1,0,0,6,303
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/signal/Operator.java,jigl.signal.Operator,interface,2,2,1,0,0,1,2,2,0,0,0,0,0,25
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/signal/Signal.java,jigl.signal.Signal,interface,1,3,1,0,0,3,3,3,0,0,0,0,0,39
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/image/warp/WarpedRealColorImage.java,jigl.image.warp.WarpedRealColorImage,class,4,4,1,0,2,0,3,3,0,3,0,0,0,62
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/image/warp/ScaleTransform.java,jigl.image.warp.ScaleTransform,class,2,12,1,0,3,3,6,6,0,2,0,0,2,94
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/image/warp/WarpedColorImage.java,jigl.image.warp.WarpedColorImage,class,5,4,1,0,2,0,3,3,0,3,0,0,0,63
/Users/grano/Desktop/ist-generation-scripts/SF110-src/89_jiggler/src/main/java/jigl/signal/RealSignal.java,jigl.signal.RealSignal,class,5,132,1,3,15,0,58,57,0,2,0,0,3,877
