class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
macaw.presentationLayer.MacawStateEditor,class,15,32,1,1,43,92,20,8,0,15,0,0,4,274
macaw.presentationLayer.VariableLabelTableModel,class,4,53,2,0,27,1,14,13,0,9,3,3,4,264
org.sourceforge.ifx.basetypes.IFXObject,class,2,51,1,1176,23,10,5,2,0,1,0,1,6,219
net.sourceforge.squirrel_sql.client.gui.HtmlViewerPanel,class,8,54,5,0,50,140,18,10,0,9,0,2,3,343
net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame,class,15,79,12,0,103,190,23,7,0,25,0,4,8,682
net.sourceforge.squirrel_sql.client.mainframe.action.ToggleTreeViewAction,class,7,9,4,0,6,0,3,3,0,3,0,1,0,42
net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeCellRenderer,class,4,26,6,0,27,7,5,2,0,6,0,0,0,126
net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser,class,13,504,1,0,144,1031,110,6,0,15,0,6,0,1741
net.sourceforge.squirrel_sql.client.update.gui.installer.PreLaunchHelperImpl,class,17,52,1,0,46,118,19,11,0,14,0,0,13,389
com.rakegroup.JoomlaOutput,class,38,117,52,0,26,3623,86,85,1,10,0,0,2,413
net.kencochrane.a4j.beans.BrowseNode,class,1,22,1,0,8,35,14,14,0,3,0,0,0,95
com.atlassw.tools.eclipse.checkstyle.config.Module,class,6,47,1,0,21,125,19,19,0,9,0,0,1,315
corina.gui.ElementsPanel,class,12,80,9,0,85,216,19,17,0,14,4,4,7,490
fi.vtt.noen.testgen.observations.formatter.NoenFormatter,class,6,15,2,0,14,15,6,6,0,1,0,1,0,88
fi.vtt.noen.mfw.bundle.server.plugins.sac.SACPluginActivator,class,7,31,2,0,22,0,8,5,0,9,0,2,6,184
org.bouncycastle.asn1.pkcs.CertificationRequestInfo,class,11,20,1,0,6,0,8,8,1,4,0,0,3,111
org.gudy.azureus2.pluginsimpl.local.clientid.ClientIDManagerImpl,class,13,84,3,0,71,13,9,7,1,11,0,5,28,403
org.gudy.azureus2.ui.swt.views.tableitems.tracker.PeersItem,class,5,7,3,0,9,3,3,3,0,0,0,0,1,59
org.gudy.azureus2.ui.swt.views.tableitems.files.FileHashItemBase,class,15,74,3,0,52,0,7,4,3,9,0,7,17,295
com.aelitis.azureus.core.peermanager.messaging.azureus.AZMessageDecoder,class,5,71,1,0,29,34,13,11,0,20,0,3,9,277
com.aelitis.azureus.core.nat.NATTraverser,class,13,44,1,0,25,24,6,5,0,8,2,3,2,200
org.gudy.azureus2.core3.disk.impl.resume.RDResumeHandler,class,25,249,1,0,89,513,21,13,13,18,0,8,45,927
com.aelitis.azureus.core.dht.router.impl.DHTRouterNodeImpl,class,6,102,1,0,43,41,18,1,0,8,0,0,14,399
org.gudy.azureus2.ui.console.multiuser.commands.Show,class,2,6,3,0,4,3,3,1,0,0,0,0,0,58
org.gudy.azureus2.ui.swt.mainwindow.MainMenu,class,10,40,1,0,93,10,14,3,1,1,0,0,96,291
com.aelitis.azureus.core.instancemanager.impl.AZOtherInstanceImpl,class,3,25,2,0,12,18,13,9,1,9,0,0,6,174
org.gudy.azureus2.ui.console.commands.XML,class,3,9,2,0,8,3,3,3,0,0,0,0,1,55
org.bouncycastle.crypto.params.ElGamalKeyParameters,class,3,5,2,0,2,0,3,2,0,1,0,0,0,27
org.gudy.azureus2.ui.swt.views.tableitems.mytracker.AnnounceCountItem,class,4,5,3,0,6,1,2,2,0,0,0,0,0,46
de.huxhorn.lilith.swing.OpenPreviousDialog,class,13,63,13,0,78,176,25,18,0,16,1,1,1,355
de.huxhorn.lilith.data.logging.protobuf.LoggingEventWrapperProtobufDecoder,class,10,31,1,0,25,9,7,7,3,1,0,0,6,130
de.huxhorn.lilith.engine.AccessFileBufferFactory,class,9,10,2,0,3,1,2,2,0,0,0,0,0,66
de.huxhorn.lilith.consumers.AlarmSoundLoggingEventConsumer,class,4,10,1,0,3,0,3,3,0,1,0,0,0,57
wheel.EngineImpl,class,29,190,2,0,125,412,36,30,0,25,0,0,1,578
Newzgrabber.Search,class,0,16,1,0,17,1,2,2,2,0,0,0,6,67
com.lts.swing.table.JTableUtils,class,4,43,3,0,34,99,15,15,12,1,0,0,1,354
com.lts.swing.contentpanel.CPMouseListener,class,1,17,2,0,14,16,8,8,0,1,0,0,0,107
com.lts.util.scheduler.NewScheduler,class,5,43,2,0,20,45,14,7,2,8,4,2,4,168
com.lts.caloriecount.ui.entry.EntryListView,class,9,29,10,0,30,135,13,3,1,3,1,1,7,171
org.jcvi.jillion.fasta.pos.PositionFastaRecord,class,4,16,1,0,5,2,8,8,0,3,0,0,2,90
org.jcvi.jillion.core.residue.nt.DefaultNucleotideSequence,class,7,26,2,0,17,0,12,10,1,3,0,0,0,144
org.jcvi.jillion.assembly.consed.ace.DefaultAceAssembledRead,class,14,93,5,0,49,0,53,51,1,5,0,1,2,438
org.quickserver.util.xmlreader.AccessConstraintConfig,class,2,13,1,0,15,0,4,4,0,2,0,1,1,75
com.eteks.sweethome3d.viewcontroller.RoomController,class,16,149,2,0,72,138,38,34,2,44,0,0,5,647
com.eteks.sweethome3d.viewcontroller.PhotoController,class,16,88,1,0,50,305,34,31,0,19,0,0,8,373
freemind.controller.printpreview.PreviewDialog,class,4,13,6,0,17,10,5,2,0,3,0,1,2,102
freemind.modes.filemode.FileNodeModel,class,5,31,2,0,26,24,12,11,0,2,0,0,2,152
accessories.plugins.NewParentNode,class,3,22,4,0,34,6,4,2,0,0,0,0,1,165
visu.handball.moves.views.Field,class,9,11,5,0,21,0,7,6,0,6,0,0,0,97
dk.statsbiblioteket.summa.common.rpc.ConnectionConsumer,class,12,21,1,0,15,0,7,7,0,13,9,10,2,239
com.yahoo.platform.yui.compressor.ScriptOrFnScope,class,2,41,1,0,18,21,11,0,0,7,0,0,0,138
weka.core.tokenizers.AlphabeticTokenizer,class,3,13,2,0,4,9,6,6,1,3,0,1,2,125
weka.associations.ItemSet,class,7,104,1,2,32,58,25,25,7,5,0,1,1,443
weka.gui.beans.SubstringLabeler,class,30,209,5,0,95,1204,56,48,0,28,0,1,3,993
weka.core.Version,class,3,35,1,0,21,26,8,7,2,5,5,5,8,258
com.sap.managementconsole.soap.axis.sapcontrol.DirEntry,class,7,28,1,0,12,32,13,13,3,6,0,1,0,173
org.heal.module.metadata.CompleteMetadataBean,class,14,89,3,0,90,786,44,43,0,13,0,0,1,461
ch.bfh.egov.nutzenportfolio.action.DetailzieleAction,class,16,44,2,0,48,0,13,11,0,4,0,0,0,318
com.soops.CEN4010.JMCA.JParser.TestJava,class,1,9,1,0,1,0,3,1,0,4,0,0,0,29
org.exolab.jms.tools.admin.AdminInfo,class,5,18,6,0,18,0,2,2,0,3,0,0,9,149
