file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/test/java/net/sourceforge/squirrel_sql/client/session/mainpanel/objecttree/tabs/table/ColumnPriviligesTabTest.java,net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.tabs.table.ColumnPriviligesTabTest,class,5,1,4,0,7,0,1,1,0,1,0,0,0,40
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/plugins/dbcopy/event/CopyEvent.java,net.sourceforge.squirrel_sql.plugins.dbcopy.event.CopyEvent,class,3,3,2,0,0,1,3,3,0,1,0,0,0,32
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/CellComponentFactory.java,net.sourceforge.squirrel_sql.fw.datasetviewer.cellcomponent.CellComponentFactory,class,34,151,6,0,86,399,30,25,26,6,0,5,30,937
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/fw/util/ObjectCache.java,net.sourceforge.squirrel_sql.fw.util.ObjectCache,class,10,39,1,0,33,107,18,8,0,4,0,0,0,315
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/gui/db/aliasproperties/IAliasPropertiesPanelController.java,net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.IAliasPropertiesPanelController,interface,1,0,1,0,0,0,0,0,0,0,0,0,0,8
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/evosuite-tests/net/sourceforge/squirrel_sql/client/session/mainpanel/SQLHistoryDlgEvoSuiteTest.java,net.sourceforge.squirrel_sql.client.session.mainpanel.SQLHistoryDlgEvoSuiteTest,class,5,2,1,0,2,1,2,2,1,0,0,0,0,23
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/evosuite-tests/net/sourceforge/squirrel_sql/plugins/dbcopy/event/RecordEventEvoSuiteTest.java,net.sourceforge.squirrel_sql.plugins.dbcopy.event.RecordEventEvoSuiteTest,class,7,6,1,0,7,15,6,6,1,0,0,0,0,58
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/preferences/UpdateCheckFrequencyComboBoxEntry.java,net.sourceforge.squirrel_sql.client.preferences.UpdateCheckFrequencyComboBoxEntry,class,1,3,1,0,0,0,3,3,0,2,0,0,0,55
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/gui/mainframe/MainFrameToolBar.java,net.sourceforge.squirrel_sql.client.gui.mainframe.MainFrameToolBar,class,34,55,21,0,51,133,20,9,0,18,0,6,4,464
/Users/grano/Desktop/ist-generation-scripts/SF110-src/102_squirrel-sql/src/main/java/net/sourceforge/squirrel_sql/client/session/parser/IParserEventsProcessorFactory.java,net.sourceforge.squirrel_sql.client.session.parser.IParserEventsProcessorFactory,interface,3,1,1,0,0,0,1,0,0,0,0,0,0,10
