file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/src/main/java/net/sourceforge/beanbin/data/ejb3/EJB3BeanBinDAO.java,net.sourceforge.beanbin.data.ejb3.EJB3BeanBinDAO,class,25,17,1,0,23,15,6,4,0,2,0,1,3,100
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/evosuite-tests/net/sourceforge/beanbin/ramcram/TheCrammerEvoSuiteTest.java,net.sourceforge.beanbin.ramcram.TheCrammerEvoSuiteTest,class,8,4,1,0,3,6,4,4,1,0,0,0,0,39
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/evosuite-tests/net/sourceforge/beanbin/codegen/BlobClassMakerEvoSuiteTest.java,net.sourceforge.beanbin.codegen.BlobClassMakerEvoSuiteTest,class,5,5,1,0,6,6,4,4,1,0,0,0,0,50
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/evosuite-tests/net/sourceforge/beanbin/data/ejb3/config/SchemaFinderEvoSuiteTest.java,net.sourceforge.beanbin.data.ejb3.config.SchemaFinderEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,24
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/evosuite-tests/net/sourceforge/beanbin/aop/MixinBlobEvoSuiteTest.java,net.sourceforge.beanbin.aop.MixinBlobEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,24
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/evosuite-tests/net/sourceforge/beanbin/search/index/IndexEntryEvoSuiteTest.java,net.sourceforge.beanbin.search.index.IndexEntryEvoSuiteTest,class,6,6,1,0,10,15,6,6,1,0,0,0,0,61
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/src/main/java/net/sourceforge/beanbin/data/ejb3/dao/transaction/RemoveAction.java,net.sourceforge.beanbin.data.ejb3.dao.transaction.RemoveAction,class,3,4,1,0,5,0,2,2,0,1,0,0,1,17
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/src/test/java/net/sourceforge/beanbin/codegen/BlobClassTemplateTest.java,net.sourceforge.beanbin.codegen.BlobClassTemplateTest,class,5,3,2,0,18,3,3,3,0,0,0,0,0,62
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/evosuite-tests/net/sourceforge/beanbin/ant/InstallBeanBinEvoSuiteTest.java,net.sourceforge.beanbin.ant.InstallBeanBinEvoSuiteTest,class,6,9,1,0,12,28,8,8,1,0,0,0,0,68
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/src/main/java/net/sourceforge/beanbin/data/ejb3/dao/search/LessThanBuilder.java,net.sourceforge.beanbin.data.ejb3.dao.search.LessThanBuilder,class,2,5,2,0,4,0,1,1,0,0,0,0,0,14
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/src/main/java/net/sourceforge/beanbin/search/index/cache/Properties.java,net.sourceforge.beanbin.search.index.cache.Properties,class,1,7,1,0,6,0,6,6,0,2,0,1,0,30
/Users/grano/Desktop/ist-generation-scripts/SF110-src/15_beanbin/src/main/java/net/sourceforge/beanbin/reflect/ReflectionEngine.java,net.sourceforge.beanbin.reflect.ReflectionEngine,class,0,1,1,0,0,0,1,1,0,0,0,0,0,25
