file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/solr/analysis/LowerCaseCharFilterFactory.java,dk.statsbiblioteket.summa.common.solr.analysis.LowerCaseCharFilterFactory,class,2,1,2,0,0,0,1,1,0,0,0,0,0,27
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/evosuite-tests/dk/statsbiblioteket/summa/control/client/shell/StatusCommandEvoSuiteTest.java,dk.statsbiblioteket.summa.control.client.shell.StatusCommandEvoSuiteTest,class,5,1,1,0,2,0,1,1,0,0,0,0,0,24
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/org/apache/lucene/search/exposed/CachedCollatorKeyProvider.java,org.apache.lucene.search.exposed.CachedCollatorKeyProvider,class,5,3,2,0,7,0,3,1,0,2,0,0,0,34
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/common/configuration/MemoryStorageTest.java,dk.statsbiblioteket.summa.common.configuration.MemoryStorageTest,class,3,1,3,0,0,0,1,1,0,0,0,0,0,25
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/support/doms/DiscardDOMSFilterTest.java,dk.statsbiblioteket.summa.support.doms.DiscardDOMSFilterTest,class,12,12,2,0,19,43,10,8,1,3,2,3,8,91
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/util/DeferredSystemExit.java,dk.statsbiblioteket.summa.common.util.DeferredSystemExit,class,0,9,1,0,7,2,5,4,0,4,1,1,2,82
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/index/lucene/WriterCallable.java,dk.statsbiblioteket.summa.index.lucene.WriterCallable,class,10,24,1,0,33,0,7,3,0,5,0,1,8,155
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/xml/XMLStepper.java,dk.statsbiblioteket.summa.common.xml.XMLStepper,class,5,57,1,0,28,103,13,13,8,1,0,1,4,226
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/storage/StorageMonkeyHelper.java,dk.statsbiblioteket.summa.storage.StorageMonkeyHelper,class,13,51,1,0,54,119,19,15,0,19,0,1,16,346
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/util/Pair.java,dk.statsbiblioteket.summa.common.util.Pair,class,5,14,1,0,6,0,8,8,0,3,0,1,0,67
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/releasetest/IterativeHelperDocCreator.java,dk.statsbiblioteket.summa.releasetest.IterativeHelperDocCreator,class,8,4,2,0,7,1,2,1,0,2,1,2,0,66
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/org/apache/lucene/search/exposed/OrdinalTermsEnum.java,org.apache.lucene.search.exposed.OrdinalTermsEnum,class,14,37,2,0,19,0,18,17,1,7,5,0,1,204
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/control/service/FilterService.java,dk.statsbiblioteket.summa.control.service.FilterService,class,10,30,2,0,22,0,5,4,0,7,2,3,1,226
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/common/filter/object/DummyStreamToRecords.java,dk.statsbiblioteket.summa.common.filter.object.DummyStreamToRecords,class,8,25,2,0,15,48,12,11,2,6,1,3,0,129
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/search/api/document/DocumentKeys.java,dk.statsbiblioteket.summa.search.api.document.DocumentKeys,interface,1,0,1,0,0,0,0,0,0,17,17,17,0,155
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/filter/object/ObjectFilterImpl.java,dk.statsbiblioteket.summa.common.filter.object.ObjectFilterImpl,class,8,41,1,15,29,36,12,10,0,7,0,0,9,204
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/search/tools/QuerySanitizer.java,dk.statsbiblioteket.summa.search.tools.QuerySanitizer,class,8,88,1,0,32,89,19,12,0,19,10,11,6,286
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/support/embeddedsolr/DanishCollationTest.java,dk.statsbiblioteket.summa.support.embeddedsolr.DanishCollationTest,class,8,2,1,0,14,0,2,2,0,3,0,0,3,56
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/control/api/feedback/rmi/RemoteFeedback.java,dk.statsbiblioteket.summa.control.api.feedback.rmi.RemoteFeedback,interface,2,2,1,0,0,1,2,2,0,4,4,4,0,49
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/control/service/ScriptServiceTest.java,dk.statsbiblioteket.summa.control.service.ScriptServiceTest,class,4,9,2,0,14,8,8,8,2,2,0,0,15,91
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/releasetest/ParentChildTest.java,dk.statsbiblioteket.summa.releasetest.ParentChildTest,class,15,28,3,0,58,75,15,7,0,1,0,1,18,251
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/lucene/distribution/TermStatSource.java,dk.statsbiblioteket.summa.common.lucene.distribution.TermStatSource,class,14,49,1,0,35,0,12,12,0,13,0,1,1,233
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/evosuite-tests/org/apache/lucene/util/IndexUtilEvoSuiteTest.java,org.apache.lucene.util.IndexUtilEvoSuiteTest,class,5,2,1,0,1,1,2,2,1,0,0,0,0,22
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/org/apache/lucene/util/packed/PackedIntWrapper.java,org.apache.lucene.util.packed.PackedIntWrapper,class,1,4,1,0,0,0,4,4,0,1,0,0,0,34
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/support/enrich/ETSSStatusFilterTest.java,dk.statsbiblioteket.summa.support.enrich.ETSSStatusFilterTest,class,11,27,2,0,36,129,19,16,1,1,0,0,22,264
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/search/QueryRewritingSearchNode.java,dk.statsbiblioteket.summa.search.QueryRewritingSearchNode,class,14,36,1,0,28,0,10,7,1,27,16,17,3,224
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/evosuite-tests/dk/statsbiblioteket/summa/common/lucene/search/TopCollectorEvoSuiteTest.java,dk.statsbiblioteket.summa.common.lucene.search.TopCollectorEvoSuiteTest,class,7,21,1,0,14,120,16,16,1,0,0,0,0,182
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/storage/api/StorageTest.java,dk.statsbiblioteket.summa.storage.api.StorageTest,class,4,0,3,0,1,0,0,0,0,1,0,1,0,29
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/test/java/dk/statsbiblioteket/summa/storage/AggregatingStorageTest.java,dk.statsbiblioteket.summa.storage.AggregatingStorageTest,class,11,16,2,0,26,0,9,9,0,17,0,2,7,178
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/shell/VoidShellContext.java,dk.statsbiblioteket.summa.common.shell.VoidShellContext,class,3,13,1,0,9,15,11,11,0,4,0,1,0,77
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/configuration/Configuration.java,dk.statsbiblioteket.summa.common.configuration.Configuration,class,16,207,1,0,106,1109,58,57,12,12,6,8,60,1410
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/ingest/stream/GUNZIPFilter.java,dk.statsbiblioteket.summa.ingest.stream.GUNZIPFilter,class,7,5,2,0,6,0,2,1,0,1,0,1,1,49
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/evosuite-tests/dk/statsbiblioteket/summa/support/summon/search/SolrFacetRequestEvoSuiteTest.java,dk.statsbiblioteket.summa.support.summon.search.SolrFacetRequestEvoSuiteTest,class,5,8,1,0,7,21,7,7,1,0,0,0,0,78
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/common/configuration/storage/JStorage.java,dk.statsbiblioteket.summa.common.configuration.storage.JStorage,class,5,108,1,0,53,285,31,22,1,4,1,1,6,648
/Users/grano/Desktop/ist-generation-scripts/SF110-src/44_summa/src/main/java/dk/statsbiblioteket/summa/support/solr/SolrSearchNode.java,dk.statsbiblioteket.summa.support.solr.SolrSearchNode,class,11,113,2,1,86,4,16,1,1,50,31,32,35,667
