file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/test/java/nu/staldal/xtree/TestSequentialTreeBuilder.java,nu.staldal.xtree.TestSequentialTreeBuilder,class,4,7,2,0,9,3,2,2,0,0,0,0,1,33
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/main/java/nu/staldal/lagoon/producer/FileSource.java,nu.staldal.lagoon.producer.FileSource,class,3,3,3,0,4,3,3,3,0,0,0,0,0,61
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/main/java/nu/staldal/xtree/ProcessingInstruction.java,nu.staldal.xtree.ProcessingInstruction,class,2,4,2,0,1,0,4,4,0,3,0,1,0,80
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/evosuite-tests/nu/staldal/lagoon/MessageDialogEvoSuiteTest.java,nu.staldal.lagoon.MessageDialogEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/main/java/nu/staldal/xtree/SequentialTreeBuilder.java,nu.staldal.xtree.SequentialTreeBuilder,class,13,59,1,0,42,59,18,18,1,10,1,2,1,288
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/main/java/nu/staldal/lagoon/util/LagoonUtil.java,nu.staldal.lagoon.util.LagoonUtil,class,0,1,1,0,0,0,1,0,0,0,0,0,0,50
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/main/java/nu/staldal/xodus/XMLSerializer.java,nu.staldal.xodus.XMLSerializer,class,8,199,2,0,38,379,30,24,0,16,0,0,0,892
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/main/java/nu/staldal/lagoon/producer/LSSITransformer.java,nu.staldal.lagoon.producer.LSSIHandler,class,10,49,4,0,35,0,15,14,0,7,0,1,4,233
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/main/java/nu/staldal/lagoon/core/ByteStreamProducer.java,nu.staldal.lagoon.core.ByteStreamProducer,interface,2,1,1,0,0,0,1,1,0,0,0,0,0,56
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/evosuite-tests/nu/staldal/lagoon/producer/MyInputStreamEvoSuiteTest.java,nu.staldal.lagoon.producer.MyInputStreamEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
/Users/grano/Desktop/ist-generation-scripts/SF110-src/52_lagoon/src/main/java/nu/staldal/lagoon/core/PartEntry.java,nu.staldal.lagoon.core.PartEntry,class,4,3,2,0,0,0,3,2,0,1,0,0,0,74
