file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/bcModule.java,bcry.bcModule,class,5,158,1,0,57,32,20,12,0,12,0,1,2,521
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/bcVoice.java,bcry.bcVoice,class,2,34,1,0,6,0,12,12,0,4,0,0,0,118
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/bcDictionaryEvoSuiteTest.java,bcry.bcDictionaryEvoSuiteTest,class,6,3,1,0,1,1,2,2,1,0,0,0,0,27
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/battlecryEvoSuiteTest.java,bcry.battlecryEvoSuiteTest,class,5,2,1,0,0,1,2,2,1,0,0,0,0,21
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/bcWord.java,bcry.bcWord,class,0,25,1,0,6,0,9,8,0,5,0,0,0,109
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/battlecryGUIEvoSuiteTest.java,bcry.battlecryGUIEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/bcFileDialog.java,bcry.bcFileDialog,class,1,50,3,0,29,42,16,13,0,13,0,0,0,191
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/bcDemoModule.java,bcry.bcDemoModule,class,1,9,1,0,7,28,9,5,0,4,0,0,0,612
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/bcModuleEvoSuiteTest.java,bcry.bcModuleEvoSuiteTest,class,7,11,1,0,1,15,6,6,1,0,0,0,0,64
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/bcWordList.java,bcry.bcWordList,class,1,13,1,0,11,0,9,9,0,3,0,0,0,69
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/bcDemoModuleEvoSuiteTest.java,bcry.bcDemoModuleEvoSuiteTest,class,5,5,1,0,8,10,5,5,1,0,0,0,0,49
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/bcGenerator.java,bcry.bcGenerator,class,5,192,1,0,62,75,19,3,0,7,0,0,2,580
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/battlecryLive.java,bcry.battlecryLive,class,4,7,5,0,15,0,4,2,0,7,0,0,0,81
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/battlecryGUI.java,bcry.battlecryGUI,class,6,81,6,0,79,71,16,4,1,59,0,1,10,506
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/bcFileDialogEvoSuiteTest.java,bcry.bcFileDialogEvoSuiteTest,class,8,10,1,0,9,16,6,6,2,1,0,1,1,137
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/bcDictionary.java,bcry.bcDictionary,class,1,23,1,0,23,0,7,7,0,2,0,0,0,111
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/bcGeneratorEvoSuiteTest.java,bcry.bcGeneratorEvoSuiteTest,class,7,5,1,0,3,3,3,3,1,0,0,0,0,39
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/bcWordEvoSuiteTest.java,bcry.bcWordEvoSuiteTest,class,5,12,1,0,9,66,12,12,1,0,0,0,0,120
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/battlecryLiveEvoSuiteTest.java,bcry.battlecryLiveEvoSuiteTest,class,3,1,1,0,0,0,1,1,1,0,0,0,0,16
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/bcVoiceEvoSuiteTest.java,bcry.bcVoiceEvoSuiteTest,class,7,17,1,0,11,136,17,17,1,0,0,0,0,130
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/src/main/java/bcry/battlecry.java,bcry.battlecry,class,5,34,1,0,5,0,1,1,1,0,0,0,0,150
/Users/grano/Desktop/ist-generation-scripts/SF110-src/72_battlecry/evosuite-tests/bcry/bcWordListEvoSuiteTest.java,bcry.bcWordListEvoSuiteTest,class,6,5,1,0,7,6,4,4,1,0,0,0,0,42
