file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/src/test/java/org/jcvi/jillion/assembly/util/TestCompactedSlice.java,org.jcvi.jillion.assembly.util.TestCompactedSlice,class,5,2,2,0,2,0,1,0,0,0,0,0,0,38
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/assembly/consed/ace/WholeAssemblyAceTagEvoSuiteTest.java,org.jcvi.jillion.assembly.consed.ace.WholeAssemblyAceTagEvoSuiteTest,class,5,6,1,0,6,15,6,6,1,0,0,0,0,57
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/assembly/util/CoverageMapFactoryEvoSuiteTest.java,org.jcvi.jillion.assembly.util.CoverageMapFactoryEvoSuiteTest,class,11,6,1,0,15,15,6,6,1,0,0,0,12,73
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/src/test/java/org/jcvi/jillion/assembly/ca/asm/TestIndexedAsmFileContigDataStore.java,org.jcvi.jillion.assembly.ca.asm.TestIndexedAsmFileContigDataStore,class,7,2,3,0,4,1,1,0,0,0,0,0,3,45
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/core/util/JoinedStringBuilderEvoSuiteTest.java,org.jcvi.jillion.core.util.JoinedStringBuilderEvoSuiteTest,class,5,6,1,0,8,15,6,6,1,0,0,0,0,68
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/src/main/java/org/jcvi/jillion/internal/trace/chromat/scf/SCFCodec.java,org.jcvi.jillion.internal.trace.chromat.scf.SCFCodec,interface,2,3,1,0,0,3,3,0,0,0,0,0,0,44
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/src/main/java/org/jcvi/jillion/internal/fasta/aa/UnCommentedAminoAcidSequenceFastaRecord.java,org.jcvi.jillion.internal.fasta.aa.UnCommentedAminoAcidSequenceFastaRecord,class,2,24,1,1,22,23,10,7,0,5,0,3,4,140
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/assembly/consed/phd/PhdUtilEvoSuiteTest.java,org.jcvi.jillion.assembly.consed.phd.PhdUtilEvoSuiteTest,class,4,6,1,0,9,10,5,5,1,0,0,0,4,51
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/assembly/util/consensus/AbstractConsensusCallerEvoSuiteTest.java,org.jcvi.jillion.assembly.util.consensus.AbstractConsensusCallerEvoSuiteTest,class,11,5,1,0,9,10,5,5,1,0,0,0,0,53
/Users/grano/Desktop/ist-generation-scripts/SF110-src/92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/assembly/consed/ace/MultipleAceContigVisitorEvoSuiteTest.java,org.jcvi.jillion.assembly.consed.ace.MultipleAceContigVisitorEvoSuiteTest,class,11,10,1,0,11,45,10,10,1,0,0,0,0,105
